Time(Iteration),WCoLinUCB,W_W0,LinUCB
0,2.72285420753,1.98920505764,2.50253716754
10,13.0463132505,5.91041537401,11.4040738797
20,19.0956054413,6.72911184254,12.5474967711
30,24.052403545,8.03883230731,13.3696297566
40,28.0492631686,8.67538846389,14.4439326426
50,30.5096773981,9.35169590488,15.0539620005
60,31.8856586972,9.97094060782,15.455905033
70,36.2060623074,10.4682331455,15.9109346766
80,38.2581514324,10.6871059793,16.3873951568
90,39.8190993788,11.7812601888,16.661385522
100,42.3639641829,12.2865657802,16.8788317584
110,43.3568610475,12.5575468909,17.0239535933
120,44.3738007354,13.0172261261,17.4100726259
130,46.0868236325,13.3659349091,17.6209192781
140,47.5338733498,13.6573232327,18.0264287795
150,49.2964283167,13.938912983,18.213616256
160,50.0725810819,14.1878550931,18.3068294542
170,50.6839929836,14.423072635,18.5289672736
180,50.9057964671,14.5283311357,18.6040423971
190,51.1481736667,14.7568852754,18.6783930969
200,51.3520557921,14.801666445,18.7993335089
210,51.6251704653,15.0722936032,18.8191722902
220,51.7634790699,15.143385137,18.8526268724
230,51.9699333579,15.2443413403,18.8601319518
240,52.1909052978,15.4319606833,18.9002431008
250,52.4606895184,15.6154278369,18.9884001275
260,52.6231935516,15.7398610492,19.0612109277
270,52.6555210801,15.7716970713,19.0994034102
280,52.8285749884,15.9769928356,19.2383849144
290,53.2020604491,16.1564027054,19.2776198702
300,53.4453258584,16.367030061,19.3106692703
310,53.6419840142,16.4233731411,19.3617727157
320,53.8107804817,16.6217748354,19.3927419116
330,53.9252914242,16.7293766333,19.4400987416
340,54.1405653982,16.8330783378,19.4412271553
350,54.1974094406,16.8849463829,19.4569485212
360,54.2955944244,16.9213049596,19.499006379
370,54.4020367397,16.9478462334,19.5016411732
380,54.6082093613,17.0828134006,19.5426325079
390,54.7109320081,17.1781268805,19.5621235271
400,54.7851780482,17.2568854739,19.5743271172
410,54.8469575463,17.3163355532,19.6174817742
420,54.9347850126,17.4084111666,19.6436641779
430,54.9641788699,17.474939929,19.6671566077
440,55.0513632642,17.5878782478,19.6819233402
450,55.1483741661,17.6911316035,19.7646925053
460,55.2253806086,17.7693776984,19.8112614705
470,55.3030755023,17.8411715436,19.8413500476
480,55.3433274797,17.8755810908,19.8828776297
490,55.4276162057,17.9445030554,19.8984248984
