Time(Iteration),WCoLinUCB,W_W0,LinUCB
0,3.14067544349,2.65412221496,3.2838317873
10,18.1318987866,6.83089291199,12.2280023021
20,21.6635410278,7.6851474009,15.2001463648
30,25.2066429504,8.20515164137,16.5862667842
40,27.4542940457,8.63300488453,17.1615220489
50,29.7554722243,8.96365354255,17.8897340604
60,31.7462942974,9.16081451827,18.1325060601
70,32.630171929,9.93715969186,18.4883403481
80,34.1095417598,10.5609246515,18.7676160551
90,35.7240368082,11.4555693673,18.9901164097
100,37.668108044,12.6143538197,19.4269997422
110,38.5048666464,12.996719907,19.6039880386
120,39.6131817936,13.831285266,19.8597664287
130,41.1768060254,14.3107705774,19.9964509528
140,44.0158362134,15.1234224434,20.2546969475
150,44.5834757647,15.5335077116,20.3124984548
160,45.165223181,15.900052666,20.4171937343
170,45.4511704891,16.0214850513,20.5009203304
180,46.0498026902,16.2252751211,20.6200318348
190,46.2233557273,16.3969557851,20.6618211995
200,46.4186642665,16.5515138119,20.8883657598
210,46.640608941,16.7032708877,21.0240321724
220,46.7709472546,16.7709920463,21.0828083185
230,46.7968095622,16.895659345,21.1405173147
240,46.9881141775,16.9759746235,21.1951798316
250,47.0857328211,17.0301432589,21.23740631
260,47.2880639175,17.0810015586,21.3393641567
270,47.4177858312,17.2163814063,21.3855325332
280,47.628977008,17.2940322439,21.5500747153
290,47.859165612,17.3894268432,21.7169889803
300,48.1084409971,17.4461005007,21.7706300794
310,48.3019797421,17.5791538942,21.8649385785
320,48.4520277755,17.647213299,21.9892408789
330,48.7104245826,17.7825344243,22.0683182899
340,48.8827538622,17.8176622115,22.0976545728
350,49.0442630542,17.9037899388,22.1815856025
360,49.2000946783,17.9991721384,22.2143383954
370,49.2159512624,18.0007587586,22.2159250156
380,49.3214261853,18.0324803418,22.3228149498
390,49.5394849688,18.1259436653,22.398160782
400,49.6800615128,18.2176716606,22.4532479243
410,49.8795144197,18.3008282554,22.4716570513
420,50.0833885045,18.3793730633,22.5600844646
430,50.2736477687,18.4272767962,22.6646255717
440,50.4545396454,18.4846092696,22.7001980449
450,50.7425000063,18.6012861358,22.7431314082
460,51.1473751226,18.7522482795,22.9498247956
470,51.3270996808,18.8186811381,23.0070888568
480,51.4839272025,18.9125885693,23.1792734966
490,51.6759913006,18.93924242,23.2549342585
