Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,LinUCB
0,0.892803389702,2.76272246024,0.820207656261,2.82359917527
10,17.4011085001,5.46225644792,7.72571586483,11.2874877836
20,26.5842210664,6.00205471059,9.56754213573,12.8310784283
30,35.1581925541,6.16707449917,10.3102976879,13.8560687237
40,44.4030087535,6.24585649539,10.8281622829,14.5730618884
50,52.1849915241,6.4248197536,11.2790887291,15.1482692954
60,57.7228456013,6.60066429561,11.7372301647,15.7418873572
70,61.2977927071,6.72053337154,12.2165237382,16.1419720193
80,64.2326732238,6.77003098807,12.4564054244,16.3211364237
90,67.0095075224,6.8723261927,13.0127673732,16.6205771671
100,69.5477797918,6.96983809977,13.3837581799,16.8373595273
110,70.8245909184,7.11034895932,14.3920607538,17.0902396414
120,71.2303152539,7.17459316478,15.0008239488,17.2825027762
130,71.4113169253,7.24103737934,15.2726058494,17.5646776048
140,72.3036010743,7.30557577804,15.8101986287,17.7657546001
150,72.824366502,7.35309186074,16.2230484133,17.8484444128
160,73.5803289378,7.39175826011,17.0740549775,18.1053473654
170,74.5876955414,7.42054675743,17.6454153402,18.2204682012
180,75.1682289259,7.4762383397,17.9460758377,18.3545597361
190,75.9721684671,7.51528832429,18.2710043189,18.5715912575
200,76.30926738,7.52450357669,18.5208108722,18.7429829969
210,76.540105605,7.62320516517,18.6802579976,18.9173298397
220,77.2261032773,7.67516663517,18.9149341315,19.1242663402
230,77.5898249873,7.70586657025,19.2359545598,19.2348427295
240,78.1032209403,7.75631867193,19.4895603907,19.3374824689
250,78.3802288666,7.85616839278,19.6599418094,19.4799667016
260,78.6400579721,7.85874182942,19.7372731342,19.637774945
270,78.9064559696,7.88157634335,19.8682281981,19.7647823484
280,79.0421765628,7.89932355115,19.8900973329,19.844434376
290,79.1987214964,7.92702555114,19.9566869622,19.9505499658
