Time(Iteration),AsyncCoLinUCBCoTheta,WknowThetaCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,WknowThetaTheta,WknowThetaW
0,0.508402950946,0.251482804992,0.639638440177,0.768008650028,0.0,0.0
10,0.208052919606,0.173294976159,0.233518624825,0.408007106488,0.0,0.0
20,0.135931666659,0.171533400768,0.162119754307,0.315300315373,0.0,0.0
30,0.0937863849365,0.138629833877,0.159044059348,0.271636821415,0.0,0.0
40,0.087243157605,0.139948635789,0.157024192347,0.242579633381,0.0,0.0
50,0.0733542382905,0.168606453661,0.138820751791,0.236104997265,0.0,0.0
60,0.0669803100592,0.183648494555,0.126728939841,0.227136794684,0.0,0.0
70,0.0609611574528,0.165829384253,0.128899321936,0.227064864466,0.0,0.0
80,0.0627880820629,0.169295333913,0.117965212969,0.218400254301,0.0,0.0
90,0.0519741342267,0.196547282687,0.108335320561,0.189272651723,0.0,0.0
