Time(Iteration),AsyncCoLinUCB,W_W0,LinUCB
0,0.456557108325,2.98714460129,1.03025396189
10,4.14588098424,18.280003939,8.22837170799
20,4.21968244892,20.3063108117,8.70086109691
30,4.50554976937,21.7424624906,9.56259806598
40,4.71585120112,22.4176350697,10.0972356855
50,4.76137225575,22.6762098924,10.6346507478
60,4.84278395978,23.3308857439,11.0406546063
70,5.07819026922,23.8225403932,11.4712880896
80,5.1903853524,24.4900893877,11.855775011
90,5.27687769703,24.9444355706,12.2353384152
100,5.36741182284,25.5630563757,12.3877718651
110,5.41880836776,25.9116529273,12.6216959761
120,5.52125563472,26.4890404307,12.8254027833
130,5.57927163273,27.0777250078,12.9921206536
140,5.60479177171,27.7079671486,13.0895017588
150,5.6079466565,27.9672144221,13.2526155941
160,5.62678267692,28.3400494695,13.4602665469
170,5.67425816843,28.8196633293,13.7003768462
180,5.73726202637,29.220911419,13.9223217948
190,5.74762149965,29.4436000189,14.1344152122
200,5.77428351706,29.5902332832,14.283651861
210,5.87664113004,29.9137937324,14.5832979503
220,5.90958539716,30.0345398434,14.6079392382
230,5.91939262634,30.1394987274,14.6498692492
240,5.99235692859,30.443676682,14.9101824973
250,6.00766985866,30.5751523543,15.0530656967
260,6.0243894226,30.8396126689,15.2091474959
270,6.05736866747,31.019885133,15.3167906474
280,6.05969216235,31.2229713078,15.4376440528
290,6.07270932776,31.3009415418,15.5164815454
