Time(Iteration),AsyncCoLinUCBCoTheta,WknowThetaCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,WknowThetaTheta,WknowThetaW
0,0.692252397589,0.302209741251,0.636230934853,0.884008771622,0.0,0.0
1,0.637812420461,0.20427617775,0.522997549073,0.818140667236,0.0,0.0
2,0.450773450746,0.152783171809,0.462124514562,0.683173286675,0.0,0.0
3,0.366664145699,0.158417356015,0.451119075179,0.633142818935,0.0,0.0
4,0.295247027705,0.148922899303,0.363523219415,0.542292755159,0.0,0.0
5,0.237830421614,0.160360438697,0.278272840633,0.482330852263,0.0,0.0
6,0.242378279766,0.14778918553,0.239994868591,0.471781989036,0.0,0.0
7,0.214538007094,0.178117610766,0.209798875955,0.442389105712,0.0,0.0
8,0.213562222305,0.182204078417,0.207126612214,0.441427996183,0.0,0.0
9,0.192004505337,0.22967730552,0.211234782028,0.417170699853,0.0,0.0
10,0.172513020455,0.249406281922,0.202306665214,0.412542658366,0.0,0.0
11,0.174737873278,0.266041121719,0.175715130557,0.407300676632,0.0,0.0
12,0.182444383601,0.263681726316,0.18392462505,0.414299338438,0.0,0.0
13,0.177080772973,0.263294774724,0.177265254109,0.407245070915,0.0,0.0
14,0.177580077402,0.255051447242,0.176087544941,0.404632010111,0.0,0.0
15,0.168411885421,0.23870575035,0.183220211458,0.38982075755,0.0,0.0
16,0.162132455704,0.226996702424,0.176919201094,0.379283157761,0.0,0.0
17,0.155482387582,0.233878808789,0.164852637,0.371113840836,0.0,0.0
18,0.155501475918,0.233882291376,0.160059350623,0.37634241914,0.0,0.0
19,0.147030021977,0.215828235297,0.157437972253,0.370606147639,0.0,0.0
20,0.132688308476,0.244488141434,0.160267986945,0.350686972572,0.0,0.0
21,0.127349239803,0.241169024879,0.162805833265,0.320853874134,0.0,0.0
22,0.119207830761,0.228171764637,0.165062513234,0.303824218902,0.0,0.0
23,0.108546987821,0.229277345342,0.167473252172,0.292711909817,0.0,0.0
24,0.102112466595,0.224304125416,0.167145595081,0.285477393145,0.0,0.0
25,0.100905156461,0.194535068936,0.16776752638,0.284615938871,0.0,0.0
26,0.09535051268,0.227351560773,0.162633928907,0.283453169987,0.0,0.0
27,0.0858386115496,0.206873933049,0.161864746139,0.271212536468,0.0,0.0
28,0.0822446981755,0.201691611922,0.155194010297,0.26197862178,0.0,0.0
29,0.0817987157051,0.183521078997,0.14866252538,0.268606271002,0.0,0.0
