Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,1.97640773641,0.889533364078,3.26406609423
1,2.56317781749,1.9419566546,5.1439015152
2,2.97537764422,3.59824425295,7.12256127311
3,3.69883900433,4.57644823555,7.75966946709
4,4.06007673777,5.12252099738,8.82273397942
5,4.2535717892,5.74597864838,9.39427843396
6,4.45190179787,6.01353879466,10.2865800871
7,4.62311101667,6.11425025366,10.7280090365
8,5.01246608552,6.33972199746,11.0730145835
9,5.24184890519,6.61989101909,11.3826325334
10,5.37755411101,6.84434052926,11.6679010038
11,5.65821922589,6.87979331242,11.9364889537
12,5.70781820962,7.00595859553,12.467881214
13,5.79720033461,7.12693688809,12.6327261592
14,6.02523671522,7.14110988422,12.722181893
15,6.3706509862,7.26871341569,12.8286532217
16,6.53849254854,7.4178400296,13.1982224617
17,6.79292147171,7.44144882718,13.3060111311
18,6.82994129653,7.50638399847,13.3802658932
19,6.82994129653,7.64902158667,13.4630384167
20,6.85540393379,7.73197601361,13.464481518
21,6.92335777652,7.81845645044,13.637791199
22,7.02003787156,7.81845645044,13.7337006509
23,7.11769329182,7.81845645044,13.7337006509
24,7.15045626675,7.81947767711,13.7673222792
25,7.15670660499,7.9335975655,13.8875226452
26,7.17585314265,7.9335975655,13.8875226452
27,7.17585314265,7.99527773036,14.0012420329
28,7.20598360977,8.14305612822,14.2432594047
29,7.24504436298,8.2497183512,14.4392709783
30,7.24572816982,8.28092039616,14.6039559534
31,7.28319405068,8.31227505706,14.6380628424
32,7.28909649073,8.31227505706,14.825066072
33,7.29642180998,8.46212962698,14.8818665015
34,7.29988796443,8.46559578143,14.8818665015
35,7.32111470303,8.48682252004,14.9707248873
36,7.32111470303,8.54183864857,15.0350285221
37,7.32923701048,8.54183864857,15.0350285221
38,7.34477186081,8.54183864857,15.0350285221
39,7.34739695133,8.61985890742,15.113048781
40,7.39136737907,8.66382933516,15.2581117535
41,7.41387999287,8.70314056505,15.3005850557
42,7.41387999287,8.70314056505,15.3005850557
43,7.41387999287,8.70314056505,15.3454870077
44,7.41475452317,8.70314056505,15.4489701954
45,7.41898042163,8.71106376379,15.4526674956
46,7.41898042163,8.77366155015,15.515265282
47,7.46266294774,8.9214394372,15.5866521768
48,7.49374083745,8.96762689752,15.5866521768
49,7.5067369602,9.09206248619,15.6438661981
Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,2.19287852671,0.731171386753,2.46073127933
1,2.80393850307,1.92945782168,4.65571573541
2,2.93056497651,3.29686471767,7.91922215547
3,3.21742574867,4.29521605285,8.93201480556
4,3.36647640612,5.1564979965,9.72753853544
5,3.43658569893,5.75512309063,10.1837272955
6,3.52121956653,6.46814732951,10.5668965669
7,3.72198932617,6.71326091309,11.2304474896
8,3.79199554399,6.96048040113,11.3875195885
9,3.83883657308,6.96091108585,11.4773244943
10,4.06892268062,7.1091721386,11.6468829483
11,4.10527650854,7.14712572268,11.6858167172
12,4.15739731519,7.17948592363,11.692154526
13,4.22540727391,7.33718065377,11.8473054934
14,4.22683635127,7.49615367175,12.0062785114
15,4.25384706963,7.57004680341,12.0731371389
16,4.32116654236,7.78736389902,12.3495685053
17,4.32769778584,7.97049095282,12.5597815733
18,4.3679655223,7.9995184799,12.5829349656
19,4.3679655223,8.06821076381,12.6516272495
20,4.44589396546,8.17377638798,12.7571928737
21,4.46353611959,8.18615563557,12.7695721213
22,4.59750495292,8.21018369327,12.9776191383
23,4.63217864598,8.31228816816,13.1499397066
24,4.63217864598,8.31228816816,13.1648104059
25,4.68919395764,8.38050036167,13.1760072877
26,4.69236626647,8.38050036167,13.2228142636
27,4.73679972283,8.38050036167,13.2644570259
28,4.74673218843,8.44209997409,13.3879801751
29,4.83045103816,8.49006528312,13.4359454841
30,4.87510733301,8.72393674423,13.5398738668
31,4.87510733301,8.75700303295,13.5729401555
32,4.89952890185,8.83277419377,13.6487113164
33,4.93114821629,8.87781420371,13.757912565
34,5.01438786937,9.04969890835,13.9353056628
35,5.04491633654,9.0509731044,13.9365798588
36,5.04491633654,9.08117506831,14.0971591244
37,5.11990320443,9.1561619362,14.1721459923
38,5.15943433376,9.21520179725,14.1821330652
39,5.16811691601,9.2238843795,14.1908156474
40,5.2701536311,9.247976095,14.2149073629
41,5.32678880597,9.38843699405,14.4199846322
42,5.32678880597,9.38843699405,14.4199846322
43,5.33487671087,9.39652489895,14.4280725371
44,5.33849282633,9.49673642452,14.4426683153
45,5.38848424414,9.54672784233,14.4926597331
46,5.40248008713,9.58500106308,14.5271092047
47,5.41651812379,9.62423040474,14.5538008272
48,5.41651812379,9.69682162335,14.6263920458
49,5.41682001,9.69682162335,14.6263920458
