Time(Iteration),WknowTheta,LinUCB
0,1.27590321003,1.96018746779
1,1.63318808639,3.10654691617
2,3.0865078668,5.06840763096
3,3.9901315862,6.18219778252
4,4.64165180001,7.77409308908
