Time(Iteration),AsyncCoLinUCB,GOBLin,LinUCB
0,2.53413944363,1.45284807754,2.90435491217
10,16.6267990904,23.6134601869,25.1779652215
20,25.5849792275,42.0476499073,43.1859870954
30,31.6207261744,54.1373452261,55.8976415313
40,35.8458851961,65.0516727949,66.2804470625
50,39.298701677,74.3952082792,75.6713135184
60,43.3230971326,85.1255200015,85.8345020267
70,46.5033508622,92.7255676047,93.3005003422
80,48.7441594111,99.813569744,100.356266581
90,51.088382759,106.719492056,107.41324433
100,53.7026403111,113.806438269,115.182811854
110,56.0147298892,119.156765522,120.275070492
120,57.964377436,124.974515213,125.729694188
130,59.8202644313,129.732604404,130.917439881
140,61.7309194759,133.573626281,135.034533826
150,62.8070637326,137.649588818,139.080210271
160,64.2699485673,142.947168902,144.121484447
170,65.8108023192,147.585048227,148.846797829
180,67.1249357767,152.083591151,153.23375744
190,68.2491390918,155.780318202,157.431854186
200,69.6245417555,160.102184341,161.355445743
210,70.6680281802,163.516552552,164.976433059
220,71.1985195576,166.354568657,167.96920184
230,72.421359217,169.404198356,170.525386573
240,73.0327892416,172.205538909,173.247581293
250,74.5905276437,175.126515963,176.248506542
260,75.1917967563,177.145147898,178.219804684
270,76.0775526524,179.620878764,180.499423424
280,77.1438378445,182.273807956,183.369731611
290,78.287966215,185.119500276,185.93698907
300,78.8615993266,187.874878099,188.780088791
310,79.5079900658,189.171794024,190.086422298
320,80.7889875172,191.856748418,192.461434677
330,81.5079662452,194.161480647,194.420440236
340,82.4595771707,196.286372136,196.58298891
350,83.1724488807,198.075274301,198.003180789
360,83.9581879039,200.801802704,200.537320569
370,84.7390544661,202.18108135,202.051945055
380,85.3549362122,203.421939338,203.275088075
390,86.0281807075,204.836781802,204.776509257
400,86.5598698971,206.709021615,206.699385812
410,87.1216036818,208.157074257,208.151342342
420,88.0178117822,209.878492129,209.878992862
430,88.4946343098,211.428399323,211.281102782
440,88.9232656298,212.464760995,212.179000988
450,89.3625941727,213.725701763,213.868695494
460,90.083035263,215.493396916,215.539063171
470,90.5518288186,216.857964459,216.806393503
480,90.8995126394,217.690986426,217.482725897
490,91.2730668618,218.494394212,218.490926472
