Time(Iteration),AsyncCoLinUCB,W_W0,LinUCB
0,1.67819728834,2.99113485368,2.15251038354
10,4.25062051359,14.2077438444,9.9272681523
20,4.97559803584,16.4326075709,10.6613504175
30,5.28262153224,16.8410671868,11.1592367199
40,5.50148321632,17.6091097651,11.7504350593
50,5.78932251743,18.3343610081,12.2106697299
60,6.09612780941,18.8701560879,12.6093774417
70,6.17211353233,19.6267892199,12.8025438512
80,6.41291391737,20.3186147643,13.1722737649
90,6.61211003884,20.8128070972,13.5269108004
100,6.76911699665,21.8258655306,13.8218393175
110,6.90722834332,22.3984510852,13.9680177767
120,7.00946811551,22.8394130727,14.2576227624
130,7.1709349187,23.187606864,14.3506558285
140,7.24159448072,23.7060798804,14.4525362089
150,7.31470627247,24.7460373426,14.539322872
160,7.38684181209,25.5720504546,14.7014229791
170,7.47591491254,25.7757308735,14.9130742893
180,7.55690909753,25.9751451597,15.1519161887
190,7.57449470323,26.1593129523,15.1972516198
200,7.57750583074,26.3118872628,15.224192544
210,7.60244792112,26.3570101652,15.3794265046
220,7.61057051895,26.5289371501,15.6359686342
230,7.67236081594,26.5788222457,15.7773215603
240,7.70030009676,26.7306737217,15.8517247908
250,7.74855322573,26.8220806883,15.918809551
260,7.77574912594,26.92019255,15.962703815
270,7.81410821688,27.0122507767,16.0733680524
280,7.82112239965,27.2944032578,16.1268072779
290,7.88618737546,27.5233996004,16.2519951803
