Time(Iteration),AsyncCoLinUCB,GOBLin,LinUCB
0,1.49584869562,0.459270834897,2.74437300204
10,3.09824703111,3.06230388268,9.10949768369
20,3.17809582888,3.24902872109,9.23061052776
30,3.36895815576,3.50655076759,9.56398968949
40,3.4212084312,3.65908031277,9.61483708757
50,3.4346317119,3.68874975182,9.64450652662
60,3.51099445109,3.73786994662,9.70170864702
70,3.57767422804,3.81973384882,9.73934602966
80,3.61536936885,3.82376230421,9.74337448505
90,3.65997007065,3.8962083606,9.82183803777
100,3.77871119901,4.00144833868,9.86027652239
110,3.79885823119,4.00144833868,9.86027652239
120,3.80876814421,4.01942799796,9.88346560432
130,3.827964502,4.0446193609,9.90609715762
140,3.83745462208,4.10644060032,9.96791839704
150,3.84447395013,4.15778124599,10.0127535156
160,3.85496373728,4.16827103314,10.0232433028
170,3.88285095702,4.17278097862,10.0263492648
180,3.88953971335,4.19004710314,10.0267115936
190,3.89559683016,4.19176497351,10.028429464
200,3.90833454397,4.21647894744,10.0508742727
210,3.91954685994,4.22571118432,10.0601065096
220,3.930344374,4.23599198591,10.0703873112
230,3.94635320277,4.25858807852,10.0929834038
240,3.95216141852,4.26698644195,10.1013817672
250,3.98217648905,4.29864415633,10.1330394816
260,3.99645014671,4.33660118115,10.1698620585
270,3.99711253263,4.33726356707,10.1705244445
280,4.0140001379,4.34850798016,10.1817688575
290,4.01443710509,4.35663248767,10.1836387879
300,4.01950874502,4.35819249347,10.1851987937
310,4.02768437397,4.40090296523,10.2396442785
320,4.03243177767,4.42827111654,10.2670124298
330,4.03676628239,4.44517260576,10.283913919
340,4.03676628239,4.47375563284,10.3124969461
350,4.03676628239,4.47375563284,10.3124969461
360,4.03710017562,4.48549819848,10.3242395117
370,4.03710017562,4.50023947621,10.3286851586
380,4.0412231731,4.50243604854,10.3289426021
390,4.05349878646,4.51694502039,10.3434515739
400,4.05459015248,4.5296744619,10.3561810154
410,4.06709608024,4.53941897114,10.3659255247
420,4.07429930494,4.54311781786,10.3696243714
430,4.07837320792,4.54520786573,10.3717144193
440,4.08132346746,4.55209515533,10.3786017089
450,4.08646095037,4.56437438428,10.3908809378
460,4.09324248283,4.57379786233,10.4003044159
470,4.09332103658,4.57379786233,10.4003044159
480,4.09332103658,4.57787901506,10.4043855686
490,4.09674663975,4.5809584359,10.4074649894
