Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,LinUCB
0,2.794971206,3.83316858519,2.53942355688,3.23162202933
10,12.0955752199,9.17240208455,10.394636837,11.5777977891
20,15.6498588311,9.55624206203,12.3306380245,13.4610570757
30,18.41452374,10.0428694911,13.7576395403,14.8020352395
40,19.7375468458,10.2270217835,14.1574400254,15.6007806724
50,21.0540968063,10.5280042418,14.6310427543,16.1597387251
60,22.0143199602,10.7141957438,15.8611152837,16.474176878
70,23.7078332176,10.9318256397,16.1607074014,16.7449176005
80,25.3808504707,11.0506626057,16.9270872629,17.0602655453
90,26.4313437996,11.1726625927,17.5510145142,17.4733764123
100,27.8727525558,11.2608417437,18.2395801821,17.5861704883
110,28.3550781091,11.4397369118,18.4676659096,17.7503259365
120,29.7880138032,11.5841501539,19.6056599337,18.0154274761
130,30.2626999078,11.8045793725,20.4030078875,18.2717120271
140,31.0163766735,11.92494938,20.7821449155,18.3657032745
150,32.0156929073,12.0935810772,21.0904093275,18.5326089773
160,32.9879004622,12.2223003585,21.3159560769,18.7173915829
170,34.4271663197,12.4003431009,21.546391391,18.8716231823
180,35.5114815497,12.4922612916,21.7822770572,18.9602851802
190,36.3052550635,12.5733055066,22.012365922,19.0885442478
200,36.8385661868,12.6930007261,22.6281297361,19.2066453315
210,37.3713028513,12.7850175324,23.0301345562,19.3602689672
220,37.7555640111,12.9754974967,23.276919104,19.4811646883
230,38.0099350446,13.1302663186,23.5095167703,19.6939291424
240,38.3248394194,13.3382279106,24.1609673278,19.9340963863
250,38.525200975,13.5188990534,24.4501639123,20.0938901407
260,38.6280860905,13.5692966078,24.6338500145,20.2048147331
270,39.1776057798,13.6205009629,24.7358744892,20.2571422343
280,39.9490776891,13.7798852629,25.034613267,20.4766821359
290,40.2960789639,13.9128817712,25.2470388031,20.6041332842
300,40.7434434292,13.9999882705,25.334802063,20.6751891304
310,40.9438169057,14.0443434855,25.4210842863,20.739550867
320,41.0318550771,14.0960118444,25.5068847755,20.8172896938
330,41.0730142521,14.1407341612,25.6645208199,20.8685866289
340,41.2640922242,14.2131945844,25.7808965119,20.9879115257
350,41.4517764101,14.2755749705,26.0063207475,21.0305146614
360,41.5540576244,14.3536521595,26.1270260667,21.1038205451
370,41.7484006666,14.4602722347,26.3672630381,21.195728864
380,41.8289948713,14.5122192644,26.4728071619,21.2281143376
390,41.9591890329,14.5375027247,26.6309546083,21.3032283736
400,42.0557081589,14.5522494715,26.797925491,21.332539003
410,42.2379948263,14.6176848111,27.0451825727,21.468759868
420,42.3817189993,14.7067850475,27.1820004297,21.5763210036
430,42.4850285131,14.7527664542,27.5579731935,21.6257461129
440,42.5837291205,14.782464393,27.7265054456,21.7355811864
450,42.6532747328,14.8197601283,27.8091616046,21.7833187872
460,42.7433230792,14.9284116968,27.9171177059,21.8841825087
470,42.7802405444,14.9573984183,27.9774519376,21.9577881012
480,42.8304240726,14.9888418332,28.1193321962,21.9908300984
490,42.9551968764,15.0493975879,28.2312935369,22.0393736592
