Time(Iteration),WCoLinUCB,W_W0,LinUCB
0,2.2508660169,2.07951983414,3.40962212752
10,10.0520318447,12.7549117149,11.0307197325
20,14.9937746378,15.254663527,12.4183615236
30,16.7932682421,17.1298081762,13.0192541221
40,18.7871191142,18.6529997462,13.6302604652
50,20.3493752038,19.5543850088,14.3627907616
60,23.7783838548,20.5142873085,15.1215454512
70,26.8735647259,21.1944066687,15.8662827927
80,29.3271712585,22.2101553023,16.2018663506
90,30.6679268956,26.0505879251,16.4845464397
100,31.9085093973,27.1714669345,16.8081766323
110,33.6469148976,27.9824556227,16.9638813326
120,34.3614204702,29.5966004501,16.9912022262
130,36.4055061174,30.4633542526,17.3521910316
140,38.1601833463,31.1072344024,17.6457880225
150,39.0393791828,31.438338796,17.900097219
160,40.3816654572,31.7997505851,18.1638004845
170,41.521828136,32.1327071433,18.480967995
180,42.0170824891,32.2424599616,18.5332371443
190,42.9217743191,32.4090212401,18.5878560491
200,43.6154093705,32.8403987784,18.7996476552
210,44.1545837277,33.0683518906,18.9954023709
220,44.6185334416,33.2200079181,19.1534697282
230,44.8659161164,33.341463767,19.343397789
240,45.1537183154,33.4896076766,19.5051500618
250,45.3503649879,33.8534165436,19.6849975247
260,45.5577486896,34.063434789,19.8339834411
270,45.8344131574,34.2982735969,19.9772489821
280,46.214744967,34.449335273,20.1397621211
290,46.4118250202,34.6644956419,20.2313869916
300,46.7875868431,34.946336389,20.3467328562
310,47.1293618967,35.1455735392,20.4541059839
320,47.307440207,35.2079742724,20.5617348658
330,47.6208694815,35.4532004622,20.6715128097
340,47.8774050215,35.5881969853,20.7255994064
350,48.1178344572,35.662925759,20.8555894211
360,48.301260678,35.7525084778,20.9266131918
370,48.4427222166,35.9111050416,21.0575050565
380,48.5483805868,36.0428871051,21.1543777238
390,48.6664751581,36.1089869787,21.1710619008
400,48.736700378,36.2028064336,21.236947422
410,48.9287080517,36.3106909807,21.3154859838
420,48.9997893925,36.3766584789,21.342496186
430,49.2567293487,36.5281938835,21.4342384829
440,49.5030065911,36.7153139368,21.4779591141
450,49.7315168683,36.8451126422,21.5818649329
460,49.8393455365,36.9841325479,21.6929344865
470,50.0695129205,37.1021644796,21.790611155
480,50.2742774311,37.1797007394,21.8887900959
490,50.6455596002,37.3342034675,21.9613747758
