Time(Iteration),WknowThetaCoTheta,LinUCBCoTheta,WknowThetaTheta,WknowThetaW
0,129.654148049,0.668743353918,0.0,0.0
10,549.512127805,0.21686564486,0.0,0.0
20,870.629651468,0.161373028377,0.0,0.0
30,870.629651475,0.169971342213,0.0,0.0
40,870.629651483,0.156926409584,0.0,0.0
50,870.629651491,0.145672508939,0.0,0.0
60,870.629651498,0.138973348368,0.0,0.0
70,870.629651505,0.13215635241,0.0,0.0
80,870.629651512,0.123077376709,0.0,0.0
90,870.62965152,0.115341113877,0.0,0.0
100,870.629651527,0.106991300056,0.0,0.0
110,870.629651534,0.103637213599,0.0,0.0
120,870.629651542,0.103582662743,0.0,0.0
130,870.629651549,0.106036665712,0.0,0.0
140,870.629651556,0.0990361597097,0.0,0.0
150,870.629651563,0.0969848485291,0.0,0.0
160,870.629651571,0.0947037396198,0.0,0.0
170,870.629651578,0.0815755924525,0.0,0.0
180,870.629651585,0.0827515281384,0.0,0.0
190,870.629651592,0.0806575257237,0.0,0.0
