Time(Iteration),AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,2.08728579033,2.82130802683,0.819198890361,2.49853972071
10,4.85833227096,17.2867003429,3.75059960708,10.7125983467
20,5.64842841094,20.3736144719,4.6862000391,12.1368572722
30,5.94946391656,21.4341321236,5.61645692603,13.1938443186
40,6.24793216396,22.4803505956,6.50813657053,13.8988543385
50,6.52402286271,24.2809789736,7.2272565181,14.8009315271
60,6.74189007434,24.8816310012,7.6489889493,15.251987607
70,6.94082646242,25.4712502417,7.93088869118,15.8922633643
80,7.101580204,26.0533749952,8.53495220596,16.4069294989
90,7.50653166773,26.9074642098,8.9899519028,16.9742288159
100,7.69281528068,27.6721162848,9.06269080795,17.117226974
110,7.93205174391,28.7570411821,9.40772575877,17.5244015294
120,8.03603156543,29.451715265,9.67435739497,17.6969103948
130,8.119977313,29.8346481785,10.0904742358,18.0092817139
140,8.22494042806,30.1230935977,10.1531539396,18.0994145597
150,8.35293892312,30.4639148439,10.3812866983,18.2344969173
160,8.40851038663,30.7437226262,10.480830996,18.3340412149
170,8.44133789029,30.9314766812,10.6465946816,18.496511732
180,8.47330082049,31.2200052689,10.810254778,18.6111491169
190,8.48294182828,31.4033003598,10.8916733725,18.8066806372
200,8.51296487887,31.6697918574,11.0124403219,19.0165333796
210,8.56984575159,31.7391958097,11.1261230543,19.0680960899
220,8.57187656078,32.0234491973,11.2083671453,19.1268942833
230,8.59523415831,32.3326825822,11.2806316965,19.2563604718
240,8.63097323002,32.6900271355,11.4153863792,19.4864197106
250,8.66030251547,32.956421931,11.5092099713,19.6051669478
260,8.68774440144,33.1081165936,11.5643670597,19.6975811838
270,8.73130190892,33.3270265314,11.6025323708,19.8146671639
280,8.73279889853,33.6504041137,11.663879073,19.8733416232
290,8.78319066057,34.0005423628,11.7625174711,19.9896192607
