Time(Iteration),WCoLinUCBCoTheta,AsyncCoLinUCBCoTheta,W_W0CoTheta,LinUCBCoTheta,WCoLinUCBTheta,AsyncCoLinUCBTheta,W_W0Theta,WCoLinUCBW,W_W0W
0,0.665676058999,0.684454107154,0.533983906643,0.677835117968,0.953382122709,0.88374956933,0.742548013501,0.953382122709,0.742548013501
10,0.32241497945,0.110412694384,0.273512534516,0.202371093682,0.891795088336,0.354304021149,0.767876394058,0.891795088336,0.767876394058
20,0.334711053698,0.0817145186935,0.154333945866,0.177328312201,0.891227739228,0.288051597516,0.784355298887,0.891227739228,0.784355298887
30,0.33841692978,0.0680071219996,0.110779518964,0.147324099839,0.898561968902,0.2816071999,0.757261502632,0.898561968902,0.757261502632
40,0.328794761136,0.0628234446486,0.121332604892,0.146672588739,0.897749830983,0.236446364632,0.758840413126,0.897749830983,0.758840413126
50,0.30293372729,0.0646912836919,0.11507861784,0.140792367176,0.971508294523,0.251866440309,0.751507199592,0.971508294523,0.751507199592
60,0.216226427378,0.0642268056179,0.102117636537,0.139524437748,0.973655266789,0.218473591765,0.741109696946,0.973655266789,0.741109696946
70,0.199484159455,0.0606217786405,0.0944354996204,0.12550586725,0.979569781381,0.216773881462,0.734793838521,0.979569781381,0.734793838521
80,0.206997326802,0.0519977324663,0.0909827773113,0.120027086709,0.997465871215,0.214669106577,0.721662866712,0.997465871215,0.721662866712
90,0.211271904945,0.0619952065957,0.103498814332,0.113680367825,1.04312126877,0.212903275153,0.722760193757,1.04312126877,0.722760193757
100,0.163651992143,0.0550741563014,0.093958491053,0.100115551074,1.03290559953,0.186830459463,0.72335010304,1.03290559953,0.72335010304
110,0.175190098237,0.0568284358914,0.108018154401,0.106148818761,1.03685629174,0.182270412216,0.723956481943,1.03685629174,0.723956481943
120,0.123413734642,0.0564631318374,0.105217542067,0.101475042428,1.00486951809,0.178231051985,0.723589925804,1.00486951809,0.723589925804
130,0.107515808845,0.050621515624,0.0791445733879,0.0917103195782,1.01874546882,0.182485519268,0.712518373803,1.01874546882,0.712518373803
140,0.105936092542,0.0503999259937,0.0940142377141,0.0913598952001,1.03329373103,0.190901572468,0.717202570857,1.03329373103,0.717202570857
150,0.11443115252,0.0520537384725,0.100580776606,0.0949110063127,1.03607975076,0.195338707024,0.721668484634,1.03607975076,0.721668484634
160,0.109692877013,0.0454578334354,0.0945334263022,0.0935146691384,1.0229661286,0.182428245132,0.725665922245,1.0229661286,0.725665922245
170,0.102353809566,0.0464188198531,0.0768666245503,0.0894678854782,1.0369354941,0.179600960282,0.729441730267,1.0369354941,0.729441730267
180,0.106787838346,0.0450340717936,0.0820384461837,0.0916987368011,1.0278540595,0.180014077382,0.733679065993,1.0278540595,0.733679065993
190,0.0979840224447,0.0424889316098,0.0709224650285,0.0872065935693,1.0208781713,0.169021115872,0.729601510527,1.0208781713,0.729601510527
200,0.094792019736,0.0404772954473,0.0641066206405,0.0857769895399,1.01722083786,0.163633374017,0.726699954857,1.01722083786,0.726699954857
210,0.0908895124687,0.0412898902471,0.065912188131,0.0830092007994,1.01919759887,0.15810531428,0.72631482987,1.01919759887,0.72631482987
220,0.0897005852449,0.0378915579831,0.0604424686503,0.0825272979802,1.02021683588,0.150207029126,0.72782622205,1.02021683588,0.72782622205
230,0.0898731925488,0.0357778104713,0.0618349200367,0.0783028955849,1.01325218617,0.156313936889,0.725366226458,1.01325218617,0.725366226458
240,0.0967324498135,0.0363585039375,0.0622593962203,0.0828630194403,1.02077370634,0.159539923136,0.726677642643,1.02077370634,0.726677642643
250,0.0909771168677,0.0383436593819,0.0616727327081,0.0832614380652,1.01586413473,0.163590224797,0.724165731351,1.01586413473,0.724165731351
260,0.0826350854834,0.0362163661376,0.057750257082,0.081659288016,1.01178368448,0.162740370517,0.72218698018,1.01178368448,0.72218698018
270,0.0721042572942,0.0373679259334,0.0567275557116,0.0781542800103,1.01400365605,0.161836677356,0.717528706159,1.01400365605,0.717528706159
280,0.071616535057,0.036697727314,0.0562669359437,0.0787065067652,1.01293589555,0.157451502431,0.714747774782,1.01293589555,0.714747774782
290,0.0714689236937,0.0367939734522,0.0616457060319,0.0773355676211,1.01161048336,0.163953613569,0.716249826622,1.01161048336,0.716249826622
