Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,2.33914795991,0.853788092703,2.75605279029
10,11.3216669825,7.42893188039,13.8549048052
20,11.8600168788,8.82270474891,15.6050509636
30,11.948405574,9.93847169027,16.5297430334
40,12.2613486029,10.6218962976,17.1626280054
50,12.4321325319,10.9889992913,17.7661563519
60,12.5373418314,11.2570302655,18.1540527997
70,12.5947915266,11.4512820983,18.2869675787
80,12.7634670866,11.6862544608,18.6196003733
90,12.9215458608,12.1211741885,19.3000516762
100,13.0822353613,12.3709460596,19.46710935
110,13.199509876,12.4862384451,19.6995253663
120,13.2290910178,12.6581398459,19.9955499994
130,13.2804206312,12.8207644042,20.1828800814
140,13.3289668969,12.9104028922,20.3505406324
150,13.3583174141,13.1241565284,20.5245805102
160,13.441262455,13.323615348,20.6580895244
170,13.4820372753,13.4235352593,20.8675445686
180,13.5166528372,13.5381756156,20.9171757764
190,13.6043838023,13.7147518814,21.0506608094
200,13.6474897935,13.8733082426,21.1178413192
210,13.7340633773,14.0862148191,21.3582609861
220,13.8738740796,14.2530387887,21.6290537986
230,13.9405569701,14.3474898101,21.7384478473
240,14.0293827928,14.4688817195,21.8219169733
250,14.1468455061,14.6415436856,22.072132504
260,14.1734836732,14.7090347621,22.1538954674
270,14.224007586,14.835180628,22.2986820909
280,14.2535172085,14.9502753159,22.3763222492
290,14.3110952661,15.0270237087,22.511677096
300,14.3505863082,15.1241949642,22.5885063621
310,14.3682529733,15.2164659987,22.6575476027
320,14.3697732122,15.2835737654,22.7774504331
330,14.3749877967,15.3579461559,22.800369229
340,14.386593683,15.4064261726,22.8557605856
350,14.4107461241,15.4348641314,22.9208740793
360,14.4274563367,15.4582172741,22.9442272221
370,14.4339230538,15.4668333395,22.9528432874
380,14.465960743,15.5536692926,22.9919250027
390,14.4666496402,15.579025678,23.0116167664
400,14.4902147582,15.6186435534,23.0769601592
410,14.5290896688,15.6644260446,23.1209162359
420,14.5733806046,15.6885939533,23.2329789917
430,14.6349798,15.8088419797,23.317387548
440,14.7068391377,15.9293588087,23.4022827196
450,14.7245499936,16.0518870545,23.5079674261
460,14.7366890029,16.115098049,23.6267762659
470,14.7664661628,16.1755369486,23.7010717328
480,14.7850221095,16.2227094092,23.7693352672
490,14.7931172698,16.2908849423,23.8256987996
