Time(Iteration),WCoLinUCB,W_W0,LinUCB
0,4.09635917523,2.35189038585,2.87080741986
10,14.3283930449,7.36086964034,10.3744226909
20,20.2799831389,8.19197836805,12.2277256116
30,27.2457701292,9.10549965872,12.9801696068
40,34.8238406181,9.82952436862,13.3775902839
50,39.9861985771,10.3610093604,13.6986067101
60,46.5115481589,11.0367414708,14.1002810789
70,52.7211539009,11.6288698777,14.4872695008
80,56.1401231616,12.0025483732,14.7445071831
90,59.7064798811,12.5209226637,15.0280303669
100,61.4239652935,13.00679909,15.3279571465
110,62.3932263379,13.9270691811,15.571590362
120,63.6603730367,14.4288472743,15.9613860227
130,64.3036423927,14.9942658718,16.1485008795
140,64.9376152225,15.5715741006,16.3337881152
150,65.6646393938,15.7563968434,16.3836780148
160,66.4129090572,16.0416334179,16.5743365767
170,67.2480829813,16.3134879118,16.7409155278
180,68.4944216998,16.8621355803,16.9237817983
190,68.9484771502,16.9827739923,16.989970303
200,69.3807372898,17.6684212394,17.2864271806
210,69.7982271676,18.0190063265,17.4553310023
220,70.1385824104,18.2586031421,17.5697282502
230,70.4325315527,18.6870622299,17.78088902
240,70.7617316275,18.8084069721,17.9393108122
250,70.9089249438,18.8675123279,17.9620426936
260,71.1232329113,19.1110918307,18.1718913494
270,71.2812998091,19.2899902189,18.2787818282
280,71.5949816159,19.4976600053,18.3748186029
290,71.9428562236,19.6340708166,18.426403551
300,72.2359559588,19.7387945753,18.5467959225
310,72.4734547999,19.9291720156,18.6716072482
320,72.6616701419,19.9837316776,18.7373136899
330,72.7507685955,20.0305293845,18.7773267088
340,72.9007663062,20.1646434434,18.8350995627
350,73.047757121,20.2652627489,18.9115313491
360,73.1539716333,20.3406141175,19.0188343717
370,73.3241446183,20.4354801501,19.140416289
380,73.4870286279,20.5855326156,19.2137240585
390,73.607012362,20.6526289279,19.2941631132
400,73.6699810762,20.7100890458,19.3738134324
410,73.8265581475,20.8742332923,19.4544967209
420,73.9246146767,20.9569004442,19.4700440749
430,74.0370128369,21.0359523799,19.5518948932
440,74.0958170962,21.1216541657,19.5840769581
450,74.2512250796,21.2255283495,19.5851439532
460,74.3609238376,21.3604111721,19.6553807514
470,74.6085785804,21.6083017462,19.7928310906
480,74.6715591754,21.6625600245,19.8095347308
490,74.7596056079,21.7747637617,19.8543216054
