Time(Iteration),WCoLinUCB,W_W0,LinUCB
0,0.681805371074,2.56601248821,2.25834363018
10,13.8886902128,9.27260191305,11.5599347677
20,20.5703710227,10.5698093349,12.888592229
30,25.6836713634,10.8679906199,13.8705382742
40,30.0664855646,11.0673116303,14.473603922
50,31.6341666986,11.1954413092,14.884011782
60,33.6374220982,11.6463334179,15.2000379528
70,36.3311436866,12.0565677911,15.4115751992
80,37.7961366079,12.5548067793,15.7203217104
90,39.3175324185,13.2234791366,16.1469616238
100,39.7151652932,13.6964639191,16.4595120999
110,40.597780185,14.4487243831,16.8257753111
120,42.5403184178,14.8864649621,16.9038995325
130,43.6375348488,15.6658014188,17.2595607554
140,44.8594589594,16.4284660586,17.6014617013
150,46.4131701401,16.662418077,17.7739913474
160,47.3763445684,16.8191033961,17.9089135055
170,48.5918387947,17.0776722961,18.1162166584
180,49.6546004947,17.6121943427,18.2963049484
190,50.0394340706,17.7269658118,18.4365923096
200,50.7695856037,17.8611460016,18.4859344996
210,50.989690816,17.9949354402,18.6188989772
220,51.581572688,18.2162871861,18.7678885979
230,51.8738761109,18.2493873345,18.8299079317
240,52.2188431671,18.4396507878,18.9428300523
250,52.7649989128,18.5127587738,19.040467477
260,53.3508359836,18.8751777555,19.135173654
270,53.5797485336,18.9862085727,19.1634260311
280,53.8577382272,19.1033995249,19.3177626446
290,54.1107624254,19.2784118537,19.4595824923
300,54.7451167071,19.6535053378,19.5574023534
310,55.0601026379,19.8841558984,19.6748995257
320,55.2266531606,19.9505002364,19.712789659
330,55.5312502255,20.2673540513,19.8596761558
340,55.7450183119,20.4211540539,19.8999992367
350,56.0723454026,20.672861329,20.0326878791
360,56.1803914806,20.7793715222,20.1308155375
370,56.6951013606,21.0260323575,20.2534383997
380,56.8182054762,21.1443968089,20.2809499072
390,57.0459028542,21.2232318301,20.3336628877
400,57.1914382882,21.3842008826,20.5216008519
410,57.3631579041,21.519762334,20.6000771886
420,57.5302916052,21.6249374373,20.7059301335
430,57.6706810748,21.6677581959,20.7838563534
440,57.9002197281,21.7830120636,20.947750081
450,57.9760481454,21.8860075072,21.0395306255
460,58.1387930109,21.9568550468,21.0672946654
470,58.2032064485,22.0221832385,21.1361643392
480,58.3306447057,22.0862846656,21.2019845174
490,58.4908771796,22.1578020893,21.2905839939
