Time(Iteration),AsyncCoLinUCBCoTheta,WknowThetaCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,WknowThetaTheta,WknowThetaW
0,0.625502414036,0.302746505214,0.671942972402,0.873964249961,0.0,0.0
10,0.441978168402,0.207421821147,0.463701925596,0.681865292422,0.0,0.0
20,0.422951149596,0.185736750569,0.390785277182,0.680895482438,0.0,0.0
30,0.431532497988,0.157229263915,0.308183508491,0.662343948086,0.0,0.0
40,0.428421456507,0.151070716019,0.280874774675,0.6684973657,0.0,0.0
50,0.396475579096,0.14606192051,0.254780611537,0.636799132758,0.0,0.0
60,0.399580886186,0.143888723566,0.234138313374,0.653243515147,0.0,0.0
70,0.397213454778,0.11894822448,0.221561552887,0.657361649378,0.0,0.0
80,0.391888575498,0.113233424868,0.207423818382,0.636893345406,0.0,0.0
90,0.338031188096,0.119421943212,0.196873653131,0.580570437352,0.0,0.0
100,0.230077491923,0.117761731797,0.200440267868,0.556204948532,0.0,0.0
110,0.20796798681,0.111271322192,0.192623731653,0.528681454374,0.0,0.0
120,0.215055872159,0.12319995727,0.183996482439,0.520921388886,0.0,0.0
130,0.193413709149,0.113522369851,0.170629995233,0.495148889718,0.0,0.0
140,0.191774998692,0.117266876113,0.163859368102,0.487973530874,0.0,0.0
150,0.16931130009,0.113816465475,0.160492198449,0.463703042431,0.0,0.0
160,0.164757174621,0.107628048477,0.155297062609,0.459860749783,0.0,0.0
170,0.155368640764,0.100126567441,0.141155808273,0.443950695019,0.0,0.0
180,0.124539054296,0.101600390896,0.145735616861,0.412624746838,0.0,0.0
190,0.0946372351919,0.104796049379,0.145384950544,0.395463155821,0.0,0.0
200,0.094252643764,0.108313186494,0.150418321044,0.384390654548,0.0,0.0
210,0.0916588248231,0.11104380243,0.148835635405,0.380148397095,0.0,0.0
220,0.0781963429108,0.10171352819,0.141398118632,0.365412059671,0.0,0.0
230,0.0797779193631,0.104505120571,0.142857557004,0.384753981345,0.0,0.0
240,0.0771165335458,0.09750292898,0.142132948612,0.38404231246,0.0,0.0
250,0.072340730475,0.0940274761168,0.141936832258,0.379530123694,0.0,0.0
260,0.069469689567,0.0906122535547,0.13670598106,0.379995903515,0.0,0.0
270,0.0665826514847,0.0891529343282,0.133982610752,0.375434192416,0.0,0.0
280,0.0652311757604,0.086745340701,0.130636017982,0.383902571968,0.0,0.0
290,0.0653184815862,0.0863354559268,0.131341627698,0.384474174499,0.0,0.0
