Time(Iteration),AsyncCoLinUCB,GOBLin,LinUCB
0,2.099702207,1.19545122431,2.25931937139
10,17.0484456839,25.2930253418,25.7781387366
20,26.203611115,43.8437289211,43.3689631715
30,31.654468351,57.2035762324,56.0243119042
40,37.4801071578,69.0002159843,67.9997065902
50,41.5600526638,79.2665896701,80.5602894369
60,44.5219313358,87.9103753552,88.9438647381
70,47.2267503644,94.4132517123,94.6718595753
80,50.8165667919,102.310446325,103.316239766
90,52.8502660647,109.222526186,110.253396558
100,55.1729918754,115.852761001,117.630567284
110,57.0019493856,121.905229803,122.562651643
120,58.3581435567,126.306917744,126.942924412
130,60.1247985581,130.748020859,130.672600904
140,62.0052590065,135.153893818,135.617059659
150,64.0294563591,140.223994584,141.204610974
160,65.3005820109,143.491963127,144.564647237
170,66.3308090495,147.830337667,148.837737108
180,67.2350705764,150.824518939,151.414097545
190,68.3702371932,153.500779209,154.268425083
200,69.4120202617,157.142413328,157.212653634
210,69.9494038274,160.17896786,160.882956011
220,71.4819957967,163.503134548,164.205167763
230,72.0761354209,167.263571664,167.689495418
240,72.8443870025,169.853182555,170.817202649
250,73.344771029,171.633047449,172.743851371
260,74.2793148251,174.311147271,175.488046159
270,75.3258047973,177.57300994,179.21778306
280,76.4160272468,180.558981249,182.166294357
290,77.7632751337,183.098537298,184.371921764
300,78.3280695825,185.974479908,187.156196406
310,79.1249711998,187.870352446,189.113845778
320,79.8049974032,189.809109574,191.231649729
330,80.5929607724,191.799186621,193.377766751
340,81.1768492368,194.092851829,195.881242249
350,82.053583755,195.964761124,197.459932642
360,82.7294284932,197.920847131,199.513559904
370,83.626006693,199.617604792,201.337654051
380,83.8680026449,201.245040133,202.732730329
390,84.4463812911,202.667767649,204.694006923
400,84.8111288092,204.013983885,206.191712495
410,85.1988868576,206.041243268,208.139145512
420,85.5873993229,207.171413865,209.122189257
430,86.4129357785,208.763920047,210.714695438
440,86.9068808447,209.905299697,211.936000849
450,87.7685384782,211.457394496,213.63470201
460,88.3118368721,213.232271865,215.443705299
470,88.8947235118,214.412190462,216.814215238
480,89.6729752654,215.715538092,218.155924182
490,90.267406275,216.681968555,219.106988053
