Time(Iteration),AsyncCoLin_SelectUserCoTheta,LinUCB_SelectUserCoTheta,AsyncCoLin_SelectUserTheta,
0,0.674431528997,0.801335560969,0.90435372343,
10,0.559318616027,0.741794501665,0.727505455337,
20,0.557747181516,0.739979057029,0.742442169614,
30,0.543654720721,0.68114248668,0.741624667636,
40,0.395424895929,0.679538859728,0.559731178312,
50,0.390834305372,0.671004123017,0.548276459532,
60,0.374616970858,0.669972641491,0.551537476013,
70,0.386820726508,0.656051479389,0.581003228704,
80,0.382468615223,0.657042922072,0.577371158542,
90,0.378526778534,0.633669343876,0.568670075438,
100,0.379195575817,0.614231757755,0.560636763169,
110,0.379247500131,0.608984962218,0.557767250945,
120,0.381000650542,0.609097452457,0.547209528434,
130,0.3829703056,0.609697621273,0.549785323271,
140,0.384479079395,0.611650251588,0.546837652459,
150,0.38139765125,0.609008008856,0.548629373708,
160,0.37946142549,0.594856838589,0.546856469149,
170,0.379447461506,0.594150691566,0.546937971388,
180,0.375157003123,0.574120804628,0.548412327299,
190,0.377673907874,0.574262505807,0.544648481163,
200,0.376646690353,0.574996073798,0.545378891493,
210,0.37847883641,0.574048613261,0.548069263148,
220,0.383486564496,0.571696801937,0.554014902051,
230,0.380611557316,0.572068643909,0.549258375576,
240,0.379905904414,0.569361284009,0.549477304545,
250,0.380527746522,0.569405049653,0.549211293885,
260,0.380036341299,0.569012628935,0.55007394501,
270,0.38079007888,0.568197095129,0.548957304755,
280,0.382735943773,0.561935641416,0.54710253857,
290,0.382850322407,0.544491313798,0.546569266753,
300,0.382793903907,0.502198232534,0.547248223124,
310,0.380911932449,0.50030306466,0.546654845583,
320,0.380964935989,0.500765460314,0.547854380425,
330,0.378970416402,0.503092881832,0.541829032247,
340,0.379261204908,0.502274896752,0.541617450586,
350,0.378006993472,0.501430931864,0.542476330173,
360,0.378182343797,0.50122349581,0.542329020195,
370,0.377919312424,0.499906001485,0.540712002258,
380,0.37765306209,0.491736411342,0.540822012686,
390,0.37761063333,0.472167805644,0.539575818141,
400,0.377297579476,0.472980280459,0.542577802878,
410,0.382989923373,0.466164096389,0.547741615528,
420,0.383208328838,0.46516791696,0.548341139298,
430,0.384241670891,0.46523502877,0.547059209269,
440,0.384937452554,0.442108089308,0.546874960456,
450,0.386069964857,0.44251009564,0.546317070084,
460,0.38936925616,0.442242004264,0.547960225784,
470,0.389469504777,0.442046249862,0.547202433396,
480,0.390156122604,0.436929998814,0.547706517956,
490,0.392058462191,0.433109471988,0.547019866232,
