Time(Iteration),AsyncCoLinUCBCoTheta,GOBLinCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,
0,0.68911600489,0.493431386392,0.629421585336,0.910651133033,
10,0.166649117351,0.184196225505,0.284661672395,0.396429965235,
20,0.0799391422136,0.113684547097,0.0942619386928,0.287217481107,
30,0.0606005421995,0.0848591347594,0.0772664822737,0.251475390914,
40,0.0496432360002,0.0767202231534,0.0466494003552,0.227724910864,
50,0.0404990897065,0.0650439911498,0.0266003348183,0.198919942998,
60,0.0374840179842,0.0645263109435,0.0224628621783,0.189212885999,
70,0.0329032630723,0.0636512898421,0.0166227157787,0.177721760215,
80,0.0297042465419,0.0639269803051,0.0158875365079,0.166597323295,
90,0.0270409431125,0.063253374676,0.0130004882564,0.155197039575,
100,0.0253269277101,0.0636896207375,0.0127505504116,0.14900739476,
110,0.0240624982062,0.0630938833258,0.0119494434967,0.144125334529,
120,0.0226963146492,0.0632352856663,0.011162939984,0.141015233403,
130,0.0224616572275,0.0627926418394,0.0109670102774,0.138027659406,
140,0.0215607127002,0.0624665472356,0.01049747638,0.135343275432,
150,0.0211075606553,0.0623046162205,0.00990912657139,0.133100379624,
160,0.0198039067858,0.0631410410655,0.00996123915362,0.130032920769,
170,0.0188289218652,0.0634720553437,0.00951103732085,0.127390686289,
180,0.017954345855,0.0633583777026,0.00875169232479,0.123724604832,
190,0.0176369351785,0.0632907189264,0.00877187567455,0.121848841208,
200,0.0168288493663,0.0634337217536,0.0088269701171,0.11968178565,
210,0.0162831873988,0.0636163476498,0.00863537183893,0.118627627503,
220,0.0160962332957,0.0636236973741,0.00832078185253,0.118182938795,
230,0.0154468870756,0.0640439236174,0.00761391615398,0.116287515817,
240,0.0151199667117,0.0642713015718,0.00743334170904,0.114204605295,
250,0.014698186396,0.0640018488566,0.00736049449401,0.111723383044,
260,0.0140346672686,0.0642336085101,0.00729952283787,0.110568278766,
270,0.0139804382272,0.0641965716203,0.00718456050155,0.109265377824,
280,0.0132388882489,0.0642171716049,0.0068154815179,0.107529255167,
290,0.0128990353076,0.064383471917,0.0067589606791,0.105202337212,
300,0.0128728293165,0.0642322070847,0.00658622826838,0.103969905584,
310,0.0127180148609,0.0646011238967,0.00657475469822,0.102765130635,
320,0.0124012839562,0.0644834325018,0.00654535664604,0.102273430147,
330,0.0119552673774,0.0644638230558,0.00638105292569,0.100301884359,
340,0.011741927187,0.0647326223573,0.00644784539046,0.0993328692608,
350,0.0115613604692,0.064804204046,0.00670298139766,0.0992070117142,
360,0.0114069087328,0.0650459800644,0.00649812721924,0.0983936350193,
370,0.011273557996,0.0650018621311,0.00628632111238,0.0977043094714,
380,0.0111321165392,0.0651015122539,0.00603429298341,0.0975008428316,
390,0.0108714545137,0.0650459335598,0.00600024533552,0.0969667864012,
400,0.0108078015683,0.064934640784,0.00582307342114,0.0958363707606,
410,0.0105438053152,0.0647106028284,0.0051317187288,0.0954165819524,
420,0.0104198732849,0.0648345321819,0.00519250885528,0.0945745612334,
430,0.010217617663,0.0646699169067,0.00493982736213,0.0936138991193,
440,0.00981803070642,0.0647357509654,0.00484223922589,0.0926876726883,
450,0.00958917851438,0.064805391697,0.00481054813256,0.0925174554915,
460,0.00941153204582,0.0649467290482,0.00486893616611,0.0922348325584,
470,0.00912661152936,0.065084164366,0.00479770508984,0.0914614107662,
480,0.00897284133274,0.0650619702603,0.00467821559176,0.0912444197471,
490,0.00859255602908,0.0651854589529,0.00466676651739,0.0907072183082,
