Time(Iteration),AsyncCoLinUCBCoTheta,W_W0CoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,W_W0Theta,W_W0W
0,0.57437907855,0.702007736652,0.642398591302,0.796111508371,0.874103990047,0.874103990047
10,0.171818251355,0.248193601046,0.240176912752,0.352946232237,0.73441376572,0.73441376572
20,0.126876905658,0.182946525788,0.173065452465,0.304114370448,0.674879119783,0.674879119783
30,0.0879450125305,0.155465734196,0.153117472182,0.283803196067,0.675538131886,0.675538131886
40,0.0815597388142,0.128745316508,0.139729076201,0.255519463336,0.661316966953,0.661316966953
50,0.0881651484781,0.130625492359,0.122457986586,0.251539609552,0.663358347602,0.663358347602
60,0.0808771069068,0.1424552239,0.125246656143,0.253891212892,0.677316847805,0.677316847805
70,0.082566192406,0.15265023543,0.122352708809,0.279750576928,0.680585935674,0.680585935674
80,0.0795871813374,0.134833937323,0.113465216484,0.265524397032,0.670216700048,0.670216700048
90,0.0773021624078,0.12577051447,0.109844250865,0.255904877303,0.665575076683,0.665575076683
100,0.0702733237154,0.119349256083,0.0977945847624,0.244848392978,0.659567886995,0.659567886995
110,0.0668463007299,0.105053758319,0.091289233284,0.245606153333,0.665459800132,0.665459800132
120,0.0678226577565,0.123642046736,0.0873213831045,0.248730584779,0.682408181217,0.682408181217
130,0.0657981965035,0.0944681415726,0.077766418402,0.228600321361,0.675108374314,0.675108374314
140,0.062049584845,0.0947595583093,0.0688920762097,0.221545589345,0.676848079003,0.676848079003
150,0.05887237977,0.101666861912,0.0715526080476,0.214993757055,0.677907290751,0.677907290751
160,0.0484176652925,0.0800388737253,0.0612653486399,0.188240672936,0.675410380378,0.675410380378
170,0.046028510236,0.0619380872802,0.0561180295086,0.182603524698,0.667580496998,0.667580496998
180,0.0435364108292,0.0713352815008,0.0528109340114,0.176994340828,0.665139864762,0.665139864762
190,0.0391809876709,0.0700608427079,0.054863875353,0.1595892426,0.671386548882,0.671386548882
200,0.0358395767243,0.0677044708913,0.0547171936062,0.147739945443,0.669039249865,0.669039249865
210,0.0324457595751,0.0657294386992,0.0535754129056,0.140515535688,0.669657385299,0.669657385299
220,0.0320476559745,0.068099447996,0.053801050922,0.135100360444,0.672855354684,0.672855354684
230,0.034446477138,0.0620570909185,0.0547976792251,0.141268193808,0.667853637546,0.667853637546
240,0.0334527826278,0.0603919935447,0.0532155129378,0.143235445928,0.665803826951,0.665803826951
250,0.0325916862963,0.0625645523975,0.054285726409,0.137876245478,0.667122359105,0.667122359105
260,0.0334287173572,0.0574956771649,0.052045205553,0.142906414216,0.665331036225,0.665331036225
270,0.0343832508267,0.0494495706537,0.0511175001087,0.143785357897,0.66382565473,0.66382565473
280,0.0369671410849,0.0546523555981,0.0557288406254,0.150464088903,0.667985099735,0.667985099735
290,0.0359283549817,0.0514177515438,0.05424100194,0.149113543195,0.663552531293,0.663552531293
