Time(Iteration),WCoLinUCB,W_W0,LinUCB
0,0.796180262884,2.07285712846,3.30107766681
10,14.7951175855,6.77859414334,10.4099623049
20,21.2286389648,7.6896202797,11.4820443554
30,25.7776210197,8.66333140199,12.231295482
40,29.0618411343,9.35035320007,13.0198403809
50,32.23942559,9.84506274062,13.5360270162
60,34.7209414827,10.1393658403,13.9964358107
70,35.9863225595,10.6496875023,14.2278121957
80,36.6270676319,10.9088566169,14.6523722243
90,37.1036043259,11.3251318025,14.7788616061
100,37.7207689078,11.6232530837,15.0227951323
110,38.7681974827,12.0317364709,15.2130903544
120,39.9469793728,12.746781668,15.3356385789
130,40.6333056471,13.6541811599,15.4499056373
140,41.7589227071,13.9757176796,15.5127858179
150,42.533986577,14.1447207672,15.6075435525
160,44.6135276152,14.2776003501,15.696715283
170,46.8759403157,14.5184412824,15.8357157003
180,47.3389373656,14.6747380788,15.9292933432
190,47.9193301465,14.9371442267,16.0158197516
200,48.3036621739,15.1212851122,16.0880458605
210,48.5906133057,15.3657049869,16.1675399734
220,48.7005791109,15.4755149231,16.2161053818
230,48.8207576518,15.6232101809,16.3207007969
240,48.9808424339,15.754257523,16.3648661357
250,49.1223140858,16.0587390006,16.5038694309
260,49.2458150924,16.1991675164,16.5845858143
270,49.3895009772,16.3232148009,16.7180335652
280,49.5742266816,16.4794644605,16.8808203313
290,49.7258774188,16.6555563929,16.9289676704
300,49.8648779044,16.8028757054,17.004683743
310,49.9732912345,16.9728778813,17.0726413434
320,50.1046577184,17.0914051807,17.1458144128
330,50.1884546689,17.1600520423,17.170909956
340,50.4410582801,17.1840095772,17.2069399014
350,50.657499784,17.3949687887,17.2944989212
360,50.7974425326,17.4725841255,17.362508955
370,50.9812741127,17.5677922606,17.3740944513
380,51.1825470122,17.7396416081,17.4529398445
390,51.3701450502,17.8276142727,17.4911036426
400,51.5066805718,17.9703094207,17.5082962072
410,51.5600449058,18.1410483568,17.5174229819
420,51.7086739344,18.215452957,17.5796918568
430,51.7219405617,18.2204549842,17.5952595691
440,52.0029115319,18.3279619082,17.6534579277
450,52.1661258905,18.3864960492,17.6599598403
460,52.4050867401,18.4479801778,17.6837705641
470,52.7065496533,18.6295380626,17.7703886727
480,53.1867406284,18.7098796804,17.8106623554
490,53.3478464377,18.8534157703,17.9443286276
