Time(Iteration),WCoLinUCBCoTheta,W_W0CoTheta,WknowThetaCoTheta,LinUCBCoTheta,WCoLinUCBTheta,WknowThetaTheta,W_W0Theta,WCoLinUCBW,WknowThetaW,W_W0W
0,0.792167454352,0.456624191605,0.347371263459,0.62649586878,0.992595811976,0.0,0.953230685183,0.992595811976,0.0,0.953230685183
10,0.648935916674,0.238133474474,0.214923393603,0.232736620746,0.867324901324,0.0,0.911632781341,0.867324901324,0.0,0.911632781341
20,0.416919562225,0.161641234825,0.161505940661,0.174798118138,0.767535381562,0.0,0.905044583723,0.767535381562,0.0,0.905044583723
30,0.337281106366,0.15045747626,0.154524209899,0.161061610083,0.767087755649,0.0,0.904460340664,0.767087755649,0.0,0.904460340664
40,0.308826997269,0.156624355082,0.140428172795,0.161096248676,0.767900984821,0.0,0.902971959155,0.767900984821,0.0,0.902971959155
50,0.293623158587,0.145349847861,0.126255820293,0.146939424583,0.788533497083,0.0,0.905510167283,0.788533497083,0.0,0.905510167283
60,0.260611244099,0.140851772239,0.118985932315,0.139222854932,0.810971247526,0.0,0.907192227918,0.810971247526,0.0,0.907192227918
70,0.255361417534,0.13316285987,0.111450495394,0.133051198072,0.831091134481,0.0,0.903878696786,0.831091134481,0.0,0.903878696786
80,0.20820680932,0.122768893392,0.101644253917,0.113817187812,0.82611819562,0.0,0.903347053859,0.82611819562,0.0,0.903347053859
90,0.185540593165,0.117469798078,0.104094903316,0.109692152483,0.846212014907,0.0,0.910530698415,0.846212014907,0.0,0.910530698415
100,0.191244602639,0.113826568413,0.100512674824,0.101355718165,0.814047618583,0.0,0.906551150583,0.814047618583,0.0,0.906551150583
110,0.184252069822,0.11535413665,0.100974403442,0.0926338663745,0.836584417799,0.0,0.905095177802,0.836584417799,0.0,0.905095177802
120,0.192979089221,0.0965767165497,0.0919278925856,0.0894175998234,0.858064811059,0.0,0.9088490796,0.858064811059,0.0,0.9088490796
130,0.178931636876,0.094978501406,0.0970782761416,0.0884100039834,0.850528134604,0.0,0.908033751287,0.850528134604,0.0,0.908033751287
140,0.162703213899,0.0912538802686,0.0992980521951,0.0906960108541,0.872537966232,0.0,0.905705597126,0.872537966232,0.0,0.905705597126
150,0.194756525296,0.0834124984859,0.0944326030777,0.0881907489029,0.889865606291,0.0,0.907570007884,0.889865606291,0.0,0.907570007884
160,0.180516452165,0.081877255652,0.0852960070405,0.0830646394974,0.850856020765,0.0,0.907410414068,0.850856020765,0.0,0.907410414068
170,0.168793150572,0.0760704981684,0.0787516389762,0.0789938229814,0.891863225562,0.0,0.905531470145,0.891863225562,0.0,0.905531470145
180,0.165067690096,0.0745672058284,0.0764217754917,0.0777585001425,0.889369878671,0.0,0.905258858962,0.889369878671,0.0,0.905258858962
190,0.154473320422,0.0676609991514,0.0744113080431,0.0741176489658,0.913846067526,0.0,0.905976556356,0.913846067526,0.0,0.905976556356
200,0.148657150874,0.0628195149974,0.0725907339528,0.0711846929966,0.929294652149,0.0,0.905027299679,0.929294652149,0.0,0.905027299679
210,0.143275377513,0.0609348810132,0.0706277761952,0.0673978329833,0.926059183591,0.0,0.905723645573,0.926059183591,0.0,0.905723645573
220,0.142840555563,0.0564241952503,0.0689429297194,0.0652948369727,0.928708157714,0.0,0.906346792466,0.928708157714,0.0,0.906346792466
230,0.140978633233,0.0586186497132,0.0718407282695,0.0658590417531,0.920518998959,0.0,0.906184159262,0.920518998959,0.0,0.906184159262
240,0.148975170729,0.0614057129353,0.0731246901876,0.0636072377063,0.914361341532,0.0,0.905648637631,0.914361341532,0.0,0.905648637631
250,0.145553309758,0.0594119116293,0.0728031350343,0.0633495776985,0.923364960641,0.0,0.906076741597,0.923364960641,0.0,0.906076741597
260,0.13140475998,0.0561289064631,0.0679092413075,0.0572930113628,0.920691243213,0.0,0.907693149795,0.920691243213,0.0,0.907693149795
270,0.127307832511,0.0584984075196,0.0665995972786,0.0568051099778,0.921348225073,0.0,0.9088478846,0.921348225073,0.0,0.9088478846
280,0.131483446924,0.0601915145055,0.0691508989098,0.0583122564646,0.934045907574,0.0,0.909045352377,0.934045907574,0.0,0.909045352377
290,0.124301363974,0.0573088591854,0.0658062090505,0.0583728193575,0.931474484401,0.0,0.907639278536,0.931474484401,0.0,0.907639278536
300,0.127491451277,0.0562794805543,0.0647328590199,0.0582935275822,0.933960382861,0.0,0.907349228072,0.933960382861,0.0,0.907349228072
310,0.12804724758,0.0552861435889,0.0623515234157,0.0566260161147,0.930499776855,0.0,0.906811911098,0.930499776855,0.0,0.906811911098
320,0.123189309501,0.0528309034265,0.0605493460721,0.0551417133676,0.931490623965,0.0,0.906906248401,0.931490623965,0.0,0.906906248401
330,0.115236816783,0.0540100017697,0.0616846336132,0.0552218721897,0.928281326919,0.0,0.90716227102,0.928281326919,0.0,0.90716227102
340,0.112894768317,0.0514985102424,0.0597618989025,0.0552004085706,0.933528361695,0.0,0.907343080758,0.933528361695,0.0,0.907343080758
350,0.0972603413564,0.0512054655265,0.0611421901767,0.0542388788545,0.956644127517,0.0,0.907189283306,0.956644127517,0.0,0.907189283306
360,0.0907420547048,0.0501391354246,0.0578751149708,0.0528890911369,0.960726720654,0.0,0.907347897756,0.960726720654,0.0,0.907347897756
370,0.0868447356693,0.0517082296937,0.0570274057016,0.0514392828079,0.961125965385,0.0,0.907707348264,0.961125965385,0.0,0.907707348264
380,0.0887753583443,0.0513625133783,0.0558557182753,0.052276055451,0.965020814893,0.0,0.906976767091,0.965020814893,0.0,0.906976767091
390,0.0833652713776,0.0522741186217,0.0562828157671,0.0519067017438,0.972809935438,0.0,0.905731754201,0.972809935438,0.0,0.905731754201
400,0.0849591755504,0.0545286678388,0.0567496896151,0.0532694002684,0.977591520273,0.0,0.907608782718,0.977591520273,0.0,0.907608782718
410,0.0916967692225,0.05467791195,0.0574271526023,0.0526894062294,0.993178260309,0.0,0.907353927337,0.993178260309,0.0,0.907353927337
420,0.0869573790305,0.0531969369171,0.0565598475122,0.0533293449655,0.999012968506,0.0,0.905994049785,0.999012968506,0.0,0.905994049785
430,0.0777327230591,0.0535276772948,0.0561855331732,0.0516831052208,1.00146626764,0.0,0.905799581251,1.00146626764,0.0,0.905799581251
440,0.0763751185182,0.0503035631528,0.0553996571711,0.0513537394798,0.999964414258,0.0,0.906546918523,0.999964414258,0.0,0.906546918523
450,0.0797692051949,0.0530931704118,0.0557955855964,0.0519542046933,1.00365628318,0.0,0.906652382433,1.00365628318,0.0,0.906652382433
460,0.0853617369915,0.0498738613892,0.0541588102743,0.0523405739413,1.00017255418,0.0,0.906804191887,1.00017255418,0.0,0.906804191887
470,0.0868424976077,0.0531145239948,0.054342357166,0.052979312652,1.00659206547,0.0,0.908939760313,1.00659206547,0.0,0.908939760313
480,0.0864654068213,0.0565534312044,0.0552051282308,0.0532395482433,1.01059672459,0.0,0.908166524498,1.01059672459,0.0,0.908166524498
490,0.0854236000662,0.0620821564296,0.0566181227235,0.057406988635,1.01587448107,0.0,0.90929380447,1.01587448107,0.0,0.90929380447
