Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,3.74005966751,0.677890031004,3.31889797135,0.576632724639,2.84199757904
10,12.9410800903,2.90048224297,14.7235087316,6.24584149224,10.2619405583
20,18.9383496152,3.33062013838,18.2842128467,7.79126116114,11.4828602126
30,21.3709279593,3.49699743764,19.8451390083,8.59827778314,12.3105514436
40,23.4890545779,3.73106589203,20.6714842643,8.97308836465,12.7651981572
50,25.7991045484,3.83379870315,21.3766658632,9.55508240106,13.1272058115
60,27.0065169333,3.93569736414,21.6644231774,10.1431275154,13.4788447018
70,28.1068492291,4.0458459781,21.9104337386,10.3595291811,13.7095179033
80,29.4030376864,4.05715115202,22.7668889184,10.7230100118,14.0428755014
90,30.4719367274,4.10391344143,23.5133353133,11.0517601054,14.3856307432
100,31.3897295466,4.15969317236,24.0501247595,11.2685948181,14.5695355334
110,32.8806390813,4.20122311224,24.2690565141,11.6506553958,14.6312827991
120,33.7359157402,4.23517270641,24.6245681606,11.8639630216,14.7531567167
130,34.8826190835,4.28172223807,24.9524101032,12.1285296281,14.9230786554
140,35.3774984907,4.3317916533,25.2490339926,12.300462242,14.9921557997
150,35.9042998303,4.40070112591,25.8334787954,12.5998950215,15.2236219483
160,36.7387872643,4.45794169275,26.3650649611,12.7929688776,15.3174316059
170,37.4633549302,4.49796484071,26.685256056,12.958151642,15.4268565206
180,38.5368243833,4.5361330467,26.8313933279,13.0892909682,15.5438459984
190,39.5560390192,4.69423378331,27.273622976,13.5426932301,15.9022713269
200,40.2980431215,4.85507568389,27.5896441995,13.7217933333,16.0158887438
210,41.7645245541,4.93220221586,27.9524193868,13.8579732513,16.1050610739
220,42.1589118599,5.00262916406,28.2130329698,13.9300571092,16.1864444182
230,42.6447895668,5.07889435732,28.2952983357,14.0698597926,16.3059200527
240,42.9250476835,5.12583230771,28.4690754342,14.1645573801,16.3740765888
250,43.3216962877,5.16188893564,28.611183485,14.2961320447,16.4052914943
260,43.7886521349,5.20492356017,28.8711491173,14.4263230261,16.4506090602
270,44.2299216645,5.21756830164,29.1042103295,14.5191994462,16.5041546719
280,44.6591253502,5.22944577903,29.199011035,14.5732899993,16.5562456905
290,44.8132705804,5.27821210467,29.2802637163,14.6204862478,16.6146966006
