Time(Iteration),AsyncCoLinUCB,W_W0,LinUCB
0,1.87211559742,2.99216921547,3.1244109646
10,4.67468387769,18.7327344813,9.56150607836
20,5.35566397871,21.9500614286,10.6571826154
30,5.55180969854,23.0636492727,11.3567415129
40,5.85191730307,23.8515875144,12.2421521918
50,6.22311135946,24.9393175522,12.75473141
60,6.32521382087,25.4605204061,13.1930168383
70,6.41537322608,26.04321328,13.9759875456
80,6.5338145294,26.4159423643,14.198100738
90,6.77317585088,26.7352553177,14.3143578879
100,6.87123134645,27.3567452942,14.5752786962
110,7.09465494907,27.944123783,14.7341206324
120,7.23245013189,28.2640217558,15.0389945571
130,7.30916044098,28.8434036689,15.3077143608
140,7.45509955447,29.4788579986,15.4265345721
150,7.56333803538,29.979848455,15.7250349269
160,7.57580105138,30.2511788056,15.950009683
170,7.61688644763,30.4815193901,16.0726705136
180,7.73355092125,30.7831877349,16.2502207197
190,7.79820850884,30.9966028801,16.4009920254
200,7.92017196212,31.2367481239,16.5147866407
210,7.94113439468,31.4987448782,16.6244465526
220,8.01682090079,31.6859305328,16.7118959238
230,8.07536824017,31.7837989617,16.8274901133
240,8.16932707573,31.8809265517,16.8953300939
250,8.22111390525,31.9539482925,16.9789554658
260,8.26084098317,31.9897052701,17.0497170177
270,8.30091319146,32.1026486084,17.1403397265
280,8.37682542315,32.2611831399,17.1995780903
290,8.41845505332,32.3324250111,17.2660207169
