Time(Iteration),AsyncCoLinUCBCoTheta,GOBLinCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,
0,0.496460221031,0.641219321673,0.643488154332,0.709513548597,
10,0.123960410227,0.072208990827,0.0489978676829,0.363861604571,
20,0.0785708758862,0.064157146011,0.0314917594488,0.281693676887,
30,0.0623553093745,0.0646441286148,0.0252915864789,0.24499069524,
40,0.0527212226667,0.0640251535909,0.021805112655,0.221386775886,
50,0.0455242597162,0.0652308755112,0.0195620298103,0.199307708391,
60,0.0376269066606,0.0651710904993,0.0159494432241,0.181129545745,
70,0.0349692907258,0.0640423505541,0.0147199108423,0.172519054999,
80,0.0316026023236,0.0637954462355,0.0138905398685,0.163039405772,
90,0.0290435003564,0.0637691998481,0.0134528625317,0.154325472589,
100,0.0266423116329,0.0639031632147,0.0126984855139,0.148669641873,
110,0.0250964889772,0.0641708243721,0.0126585569637,0.143361329669,
120,0.0240411626742,0.063821662016,0.0120760335559,0.137930829778,
130,0.0229771012043,0.0644200952813,0.0118749052365,0.135363490895,
140,0.0223385330626,0.0641085193126,0.0113501887605,0.133302022962,
150,0.0216280711953,0.0641484039413,0.0107347111372,0.130991967464,
160,0.0207844171905,0.0642699044543,0.0105110081533,0.12826275606,
170,0.0201524224503,0.0643367221261,0.0097169238795,0.124159523426,
180,0.0198880058515,0.0637556118408,0.00918598590507,0.122705164592,
190,0.0190175159433,0.0639589108429,0.00893296791479,0.119219368337,
200,0.0173959434457,0.0639093978201,0.00829754521569,0.116601418915,
210,0.0163290579423,0.0641917536506,0.00775685442702,0.115190918427,
220,0.0155192121279,0.0643761073586,0.00740950972647,0.112968330314,
230,0.0148270544342,0.0645468694093,0.00706487402928,0.112049974632,
240,0.0144951475897,0.0646204466311,0.00705817439332,0.110054816852,
250,0.0140357167999,0.0648975720706,0.00628425826812,0.109610845982,
260,0.0137014196362,0.0648253930127,0.00597964662975,0.10872896556,
270,0.0128508496815,0.0647941579688,0.00616685231307,0.107214273533,
280,0.01238575959,0.0649372200803,0.0059185825334,0.104557463676,
290,0.012082710599,0.0648905525114,0.00620505994804,0.103909108824,
300,0.0118433687882,0.0649715948159,0.00653796780836,0.102348568742,
310,0.0116531720945,0.0650016459217,0.00630916850464,0.101815784598,
320,0.0112444863167,0.0651978007211,0.00633194126651,0.100696490824,
330,0.0107399531129,0.0654340266729,0.00624982474474,0.0998913038663,
340,0.0105835597584,0.0653395086428,0.00620249884016,0.098468698808,
350,0.0104285004293,0.0654249148432,0.00636931355303,0.096929270191,
360,0.0103084956066,0.0653901176983,0.00622514208566,0.0967678147465,
370,0.0101660854027,0.065241013439,0.00582121802485,0.0960278070446,
380,0.00972385127188,0.0652794046509,0.00574643469983,0.0956129173587,
390,0.00959979563962,0.0652478412454,0.00564536725909,0.0948048198057,
400,0.00923656957074,0.0652997813952,0.00573655826056,0.0936162695446,
410,0.00929041816862,0.0652156227674,0.0057842877527,0.0931791242192,
420,0.00908279766022,0.0652949693925,0.00561502271657,0.0920394849761,
430,0.00893352057301,0.0653477724596,0.00557105100417,0.091589928614,
440,0.00865469906278,0.0654660302836,0.00540397167381,0.0909226340122,
450,0.00821641400873,0.0656641995877,0.0059721676371,0.0903081852627,
460,0.00824464391042,0.0655644924093,0.00579158998965,0.0900538028983,
470,0.00816482135503,0.0655292178484,0.00576266260904,0.0896675589428,
480,0.00814927707493,0.0654468918162,0.00558330335911,0.0895279797334,
490,0.00817194912332,0.0654449057335,0.0058144159033,0.0891725710742,
