Time(Iteration),WknowTheta,LinUCB
0,0.749783694254,3.02103329534
10,32.7303088408,9.54092433344
20,66.9192448085,11.6402597697
30,100.785793403,12.5284755501
40,134.896222959,13.323266992
50,169.556292222,13.8079225886
60,204.963577117,14.1601655241
70,240.211483142,14.4396598273
80,275.689269685,14.8989829466
90,311.893379992,15.1404767971
100,348.375086545,15.3821844355
110,384.530571271,15.6016404218
120,420.908754675,15.9390109066
130,460.217900878,16.1117179496
140,495.867354008,16.4700517869
150,533.009490736,16.6983850894
160,569.831285181,16.8833566166
170,607.074473401,16.9580531103
180,641.993087923,17.3287185688
190,677.115247811,17.4728766873
