Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,2.89098993947,2.66215350534,2.97771138569,0.873478511024,2.79942177503
10,9.74911545218,6.26561059598,12.0427108702,7.19387331567,8.86197544735
20,13.6599634643,6.9114259938,14.410390144,8.5125872832,9.82051743952
30,17.1377630071,7.09548888032,16.6541955317,9.3507493496,10.6563397756
40,21.522185924,7.27670201298,17.9283517365,10.1755440229,11.4872952557
50,25.5029022229,7.4879668876,18.9928839977,10.8243357914,12.1282545863
60,27.5201558705,7.6109669344,20.0629260106,11.2266574728,12.5921247207
70,28.8885347651,7.63157586173,20.5832660476,11.6519528546,12.9057724353
80,30.9226251604,7.71852633886,21.1301344992,11.9629470655,13.1766984352
90,32.0087276576,7.7877439733,22.0730030235,12.2955809911,13.523265898
100,32.4938332487,7.83976119949,22.5482460258,12.3743811274,13.6882937083
110,33.1423469969,7.91796799692,23.1221843213,12.6876822204,13.838520737
120,33.7422464856,7.96762384504,23.4317202972,12.8742951039,14.118921405
130,34.5116426759,8.16912318302,24.028048018,13.0678604931,14.3980819122
140,35.0713917456,8.31350151269,24.3565326733,13.2621719399,14.5857878207
150,35.747942239,8.37926401659,24.8388351689,13.5123008645,14.7935432755
160,36.5269087507,8.53608284273,25.5176956111,13.6055040865,14.8640676131
170,36.956358871,8.59516650575,25.6903408114,13.6842864882,14.9572588531
180,37.4734002602,8.61670541664,25.9899683283,13.9458122566,15.2267238914
190,39.1628947058,8.68595906013,26.2434380041,14.1073158099,15.3755904104
200,40.2726298271,8.73804382912,26.4028560152,14.1768182992,15.5015624479
210,40.6440932802,8.74593315594,26.5692512232,14.2287345923,15.6100547989
220,41.005126616,8.76614237105,26.7267777152,14.2609656393,15.6567842579
230,41.2139446074,8.80161349737,26.8800944797,14.3305557613,15.7432005801
240,41.5420977406,8.80304257474,26.9813207699,14.347372558,15.7763727213
250,41.873107825,8.83675283033,27.1309523559,14.4187416891,15.9911813356
260,42.1114829351,8.87570365806,27.3020852322,14.4840579929,16.1301249676
270,42.330768022,8.87570365806,27.4141866487,14.5068067459,16.1683206325
280,42.5153046417,8.88086986709,27.5716450224,14.5415747564,16.1807932572
290,42.7740058394,8.90225551307,27.6411452281,14.597361853,16.2413551408
