Time(Iteration),AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,3.77824738539,4.2577962908,0.813096475668,3.0004784506
10,6.01351962314,11.7438810382,6.23005074417,10.3163042736
20,6.55718004243,15.0343812108,7.15020294912,12.0489153424
30,6.76116705168,17.0653307302,7.87743527594,12.6977080644
40,7.15156602436,18.1797804437,8.4170582332,13.5331956971
50,7.26949816,19.180860833,8.80655346358,14.0000457703
60,7.38421276679,19.8292075925,9.19029996728,14.6186171135
70,7.61817599334,20.5620250661,9.67639708021,15.1800484195
80,7.77027498465,21.2472170711,10.0176865747,15.5149888865
90,7.95702666877,22.403530592,10.3555850322,15.8074157083
100,8.04544686792,23.3720280553,10.5224923418,15.9870874677
110,8.23856766627,24.2967018055,10.690725528,16.1573703667
120,8.34496123552,25.2287176279,10.9105430242,16.341059915
130,8.39024708162,26.1826630132,11.046265407,16.4287157201
140,8.51131229018,26.5946457525,11.2773002855,16.5524381901
150,8.58566394174,26.9328240156,11.3908831733,16.6593856222
160,8.65017297463,27.6073164765,11.6362382121,16.8043294833
170,8.74614414784,28.4569489435,11.7444902944,17.0323130344
180,8.83456589144,29.5035623182,11.8170950799,17.129251375
190,8.96538016999,30.3480750042,11.9716193628,17.2990902418
200,9.15707863702,30.6329739156,12.1660186938,17.4973319175
210,9.19856260365,31.0535169809,12.1955385973,17.5117598225
220,9.29465770076,31.6647267271,12.3773266131,17.6381632486
230,9.4398022137,32.0368273867,12.5388404802,17.8241920947
240,9.49478258995,32.1753177239,12.5922919825,17.8731383366
250,9.5462880453,32.3799066579,12.7046983226,18.0387234085
260,9.58953471227,32.5335015381,12.7856289052,18.0776936325
270,9.64990029667,32.6560011596,12.9153694216,18.2323948321
280,9.69111458419,32.8646978823,13.0532825199,18.3321446381
290,9.74616000464,33.1846173528,13.1997686913,18.5106823184
