Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,1.72837998405,1.2360074889,2.00111509701
1,2.66356948098,1.9087635846,3.32981238579
2,2.81732459679,3.37713402406,4.66293544506
3,2.83257353826,4.26199857602,5.87187079995
4,2.8871240681,4.63990043909,6.26571713535
5,2.99589957157,4.74992863953,6.51300997496
6,3.00533189357,4.93104795139,7.06825358278
7,3.10831702743,5.16190520472,7.67892683706
8,3.10831702743,5.27272198329,7.96123254606
9,3.13112982537,5.77648775766,8.27457930874
10,3.20584826879,6.08434899274,8.61833282832
11,3.24133300296,6.08705054369,8.83272580348
12,3.37404551872,6.3599138422,9.1973482813
13,3.37404551872,6.57748500245,9.37669972091
14,3.44618103576,6.69162445669,9.418890495
15,3.44618103576,6.83686015692,9.4845941359
16,3.62544135007,6.99972764448,9.69209189139
17,3.6411934544,7.01868266682,9.84542328847
18,3.6411934544,7.28558189093,9.8827130889
19,3.73279531397,7.35489520706,10.0017395172
20,3.76222507985,7.40227101439,10.1518504188
21,3.77745404606,7.5112194034,10.1807976934
22,3.79963658063,7.5112194034,10.2022496988
23,3.81708553581,7.6625373349,10.5579551018
24,3.88702264422,7.77864483477,10.657821229
25,3.88702264422,7.8630224151,10.7299514666
26,3.88702264422,8.08639750664,10.8334427468
27,3.98285876483,8.0985459546,10.8878650342
28,4.02928415445,8.15344415659,11.1170290753
29,4.02989466592,8.23893663231,11.1341584274
