Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,3.44362879734,0.87716276358,3.84446745814
1,6.65876110351,2.42190306275,5.72801988593
2,8.59768951154,3.83007569573,7.82831489043
3,9.29422035226,5.0705780738,8.76824608165
4,9.32056262303,5.17219025507,9.12843226789
5,9.32370339066,5.17219025507,9.62109533834
6,9.35002748192,5.7733451931,9.82929943367
7,9.47586014392,6.0118825289,10.02979232
8,9.53436754374,6.30830541428,10.1122083834
9,9.56702463384,7.23961857697,10.3144287547
10,9.71243869508,8.46326625658,11.1826653965
11,9.78634314413,10.0590458746,11.4879690185
12,9.87956228747,10.4959947361,11.6936693887
13,10.007153395,10.8768428542,11.9161201453
14,10.0422186417,11.6078234747,12.0948179937
15,10.1373010716,13.0179154911,12.5396138712
16,10.1373010716,14.4004956927,12.6100521489
17,10.1904086155,15.1907952674,12.7867763916
18,10.1904086155,16.0198606869,12.7867763916
19,10.1909757724,16.3295968747,12.9444699098
20,10.3628165928,17.5174844241,13.0246568232
21,10.4249207813,18.607320751,13.059622023
22,10.4249207813,19.2062314799,13.1596897507
23,10.4249207813,19.5430313127,13.2613775349
24,10.5075789055,20.9431044229,13.3384984523
25,10.5075789055,21.6109277874,13.389313083
26,10.5153163518,23.1654521935,13.5318925175
27,10.5748370845,23.9586638297,13.6349193209
28,10.5762123919,24.6621714241,13.7789283576
29,10.6390110252,25.4001403326,13.8265727661
