Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,3.19525040746,3.25684692046,3.12708280093,0.906206239402,3.13130949055
10,13.9880852771,8.93986622732,15.9772695619,6.79349832372,13.1952881416
20,21.2232709952,9.15800255079,18.6366616578,7.7176857794,14.9326820915
30,26.2387930279,9.32453695837,19.849420422,8.15732207445,15.3952864979
40,31.331688733,9.35374178826,20.7286500754,8.59487119552,15.8343334736
50,37.1911764749,9.46411147144,21.6368119854,8.88971919562,16.0968865938
60,40.6164134253,9.62656917912,22.0403909754,9.0744713861,16.4115588633
70,43.0738880123,9.77403557216,22.6661279426,9.37209597331,16.9171431499
80,44.4830939359,9.93181949073,23.2483056692,9.65291619495,17.1894561699
90,45.4864548144,9.97446576585,23.5324869097,9.891144728,17.5434090705
100,46.6136516139,10.0005232268,24.0676106462,10.0740813548,17.8387025172
110,47.2513242719,10.0488593112,24.5913487532,10.1629085543,18.0180768928
120,47.6415585573,10.1343873411,25.2088608058,10.2954627666,18.2386257695
130,48.1510000895,10.1530550375,25.5172142325,10.4950235267,18.394710105
140,48.5527972408,10.1929014391,25.8093291745,10.7561743113,18.6036916043
150,49.1671282269,10.2604053783,26.1565781857,10.9921525233,18.760805062
160,49.9578930964,10.3023931005,26.2774940156,11.1573885638,18.8573066708
170,50.4711807072,10.3381431113,26.5538469494,11.3036460077,18.9410302336
180,50.8313385088,10.3641295157,26.7924353278,11.365523587,19.002907813
190,51.8602664423,10.3778780664,27.0347191267,11.4072477433,19.0576869318
200,52.1461606741,10.392358504,27.2164030116,11.4456355959,19.1202079068
210,52.5406440098,10.4252376775,27.4201591664,11.5113403829,19.1890824297
220,52.9996435101,10.5136944089,27.6290916418,11.5700872954,19.2611146617
230,53.5486341172,10.5667028628,27.9270253464,11.7720259508,19.4067988392
240,53.8146246248,10.5726676942,28.1605408229,11.8192611319,19.4909657244
250,54.0613039946,10.62981557,28.3368629926,11.9045817605,19.5595480174
260,54.3745841755,10.7246958594,28.554498166,12.1707463483,19.6858693015
270,54.5057685694,10.7520203937,28.6442862471,12.2025103744,19.7652120118
280,54.7429467944,10.8084818221,28.8248113965,12.3071436547,19.8262166558
290,54.9186337931,10.8307493307,29.0416699824,12.3818782322,19.9686096048
