Time(Iteration),AsyncCoLinUCBCoTheta,GOBLinCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,
0,0.479720632774,0.505408638065,0.63297430192,0.766764004386,
10,0.0672217520483,0.0486600234633,0.0371873512809,0.262998257942,
20,0.0479474736806,0.0529474768816,0.0192327689616,0.219451243265,
30,0.0360965867357,0.0585927928326,0.012800422079,0.184403815893,
40,0.031000698475,0.0613503152591,0.010399820566,0.166455123162,
50,0.0263269954119,0.0612271642096,0.0090931237296,0.15321212108,
60,0.0232755243119,0.0622260600762,0.00800322406893,0.143113853262,
70,0.020898538981,0.0624110502296,0.00686547324005,0.137619188005,
80,0.0190124845227,0.0622136282455,0.00684842130318,0.13162598089,
90,0.0174185565884,0.0624137153836,0.00670907140116,0.124954583814,
100,0.0161945420933,0.062450503398,0.00655523012427,0.120283862506,
110,0.0149656863946,0.0628438321322,0.00631004984128,0.116576035446,
120,0.0145896909142,0.0629266376823,0.00590083370104,0.114783756713,
130,0.0137332324774,0.0631573181697,0.00552809541497,0.112626507563,
140,0.0130263587197,0.0634536450095,0.00554975574967,0.110244776623,
150,0.0125780007495,0.0632719008698,0.00535344077713,0.109265629761,
160,0.0119705699655,0.0633518548078,0.00498477081324,0.107348240031,
170,0.0115120506072,0.0633974646603,0.00469995925607,0.105942094947,
180,0.0112671466795,0.0634604238429,0.00458036715766,0.1046653339,
190,0.0110490357441,0.0634570509797,0.00466559265081,0.103489380687,
200,0.0107366158166,0.0635775827375,0.00459512256216,0.102513070292,
210,0.0104649082126,0.0638395894553,0.00442060179408,0.101164967814,
220,0.010338627852,0.0637343217187,0.00455076391937,0.100435562874,
230,0.0100859458601,0.0636149897278,0.0045394189772,0.0992890606777,
240,0.00968982315778,0.0638243981975,0.00447262865515,0.0980293257131,
250,0.0094642341139,0.0639262900704,0.00430122903334,0.0967355660207,
260,0.00934630001968,0.0639594351019,0.00397062386989,0.0961019467737,
270,0.00909406624835,0.0641228751858,0.00398311186196,0.095306808469,
280,0.00870969472587,0.0645012850936,0.00406657203342,0.0946668608164,
290,0.00859829919397,0.0644751103365,0.00395854284093,0.0930421127362,
300,0.00830322297436,0.064593124916,0.00386983814351,0.0918824850646,
310,0.00810320631708,0.064716273755,0.0038330777427,0.0910819719319,
320,0.00785651205175,0.0648593223128,0.00373228920328,0.0899127221385,
330,0.00754213602072,0.0649374718918,0.0036577367272,0.0892970933852,
340,0.00724393471164,0.0649902922777,0.00332580190395,0.0883667140111,
350,0.00724315876617,0.0649312594076,0.00331971892927,0.0882803943028,
360,0.00721112117415,0.0650028039166,0.00328551217408,0.0878687461714,
370,0.00713037701029,0.0651170581507,0.00327298428891,0.0878290657756,
380,0.00704280434897,0.0650349395932,0.00313333461372,0.0874707855012,
390,0.00688806257217,0.0650588757858,0.00302897262385,0.0872981187585,
400,0.00673898757933,0.0650206139175,0.00288958882465,0.0867873973581,
410,0.00648875376691,0.065183829868,0.00285793188004,0.0863423909795,
420,0.00642743300426,0.0651315290118,0.00282566452132,0.0854522669415,
430,0.00652130446771,0.0650469742213,0.00267435509859,0.0846465214289,
440,0.00654619055019,0.0651847990718,0.00262084039274,0.084450801495,
450,0.00648256166927,0.065140293558,0.00255294086527,0.084068940646,
460,0.00632617323674,0.0650724043033,0.0025061989571,0.0837507007904,
470,0.0062814562986,0.065158100905,0.0026528777161,0.0837742930363,
480,0.00611989536186,0.0652663572085,0.00262204135027,0.0825535170735,
490,0.00606486288242,0.0653234650399,0.0025801062671,0.0818057562688,
