Time(Iteration),WCoLinUCBCoTheta,WknowThetaCoTheta,LinUCBCoTheta,WCoLinUCBTheta,WknowThetaTheta,WCoLinUCBW,WknowThetaW
0,0.79512469419,0.362873812206,0.704003846856,0.991830339718,0.0,0.991830339718,0.0
10,0.521193178652,0.235682505348,0.27116002662,0.936219175989,0.0,0.936219175989,0.0
20,0.480670362366,0.152964369039,0.245366056269,0.991760128368,0.0,0.991760128368,0.0
30,0.425393601987,0.157626238479,0.197705522772,0.979313403472,0.0,0.979313403472,0.0
40,0.396592725466,0.148144393753,0.16980245344,0.972462483146,0.0,0.972462483146,0.0
50,0.372012350991,0.139036864851,0.135040022632,1.00949288399,0.0,1.00949288399,0.0
60,0.345914661313,0.12329146453,0.11871957658,1.01997685712,0.0,1.01997685712,0.0
70,0.335464675633,0.12742768835,0.11793492822,1.03179628631,0.0,1.03179628631,0.0
80,0.32173942992,0.111245545811,0.107030485056,1.02217145502,0.0,1.02217145502,0.0
90,0.318954096825,0.10657666897,0.105132720845,1.04840680707,0.0,1.04840680707,0.0
100,0.290324586262,0.098250008424,0.102704427401,1.0513345207,0.0,1.0513345207,0.0
110,0.313834319725,0.0958692949457,0.0987006280085,1.04580548075,0.0,1.04580548075,0.0
120,0.304787723887,0.0942947663618,0.0979887215187,1.04907212345,0.0,1.04907212345,0.0
130,0.299289145088,0.0912649438639,0.0936444903697,1.05692363004,0.0,1.05692363004,0.0
140,0.292108407423,0.0924426957731,0.0890857934842,1.05162709418,0.0,1.05162709418,0.0
150,0.275468210073,0.0922759530702,0.0876790782035,1.04902267129,0.0,1.04902267129,0.0
160,0.267999249432,0.0878822963423,0.0817696634828,1.04585281921,0.0,1.04585281921,0.0
170,0.258357231465,0.0857013902467,0.0768249788481,1.0413937408,0.0,1.0413937408,0.0
180,0.254758087396,0.08393042976,0.0714721243144,1.06760337626,0.0,1.06760337626,0.0
190,0.239638321044,0.0850356439894,0.0742957534074,1.07504368798,0.0,1.07504368798,0.0
200,0.22504560897,0.0815522638452,0.0748155552553,1.07548061217,0.0,1.07548061217,0.0
210,0.227969927694,0.0847660913537,0.0772920877263,1.07859948652,0.0,1.07859948652,0.0
220,0.212919183033,0.079804126568,0.0742873184513,1.06808450241,0.0,1.06808450241,0.0
230,0.204475968961,0.0734281086084,0.0714909872449,1.06438480379,0.0,1.06438480379,0.0
240,0.208584323765,0.0758906333817,0.0749042173954,1.06494149141,0.0,1.06494149141,0.0
250,0.200572204578,0.0769085702199,0.0751025055645,1.06137109117,0.0,1.06137109117,0.0
260,0.194509780942,0.0749640441639,0.0734522995809,1.06651648151,0.0,1.06651648151,0.0
270,0.19359312426,0.0731634562926,0.0701768064237,1.06584410368,0.0,1.06584410368,0.0
280,0.192448732997,0.0737982295705,0.0706828179969,1.06777390156,0.0,1.06777390156,0.0
290,0.186815047894,0.0728962639097,0.0704105787967,1.068742981,0.0,1.068742981,0.0
Time(Iteration),WCoLinUCBCoTheta,W_W0CoTheta,LinUCBCoTheta,WCoLinUCBTheta,W_W0Theta,WCoLinUCBW,W_W0W
0,0.761613425575,0.699906663588,0.67239546188,0.979785587089,0.886127828406,0.979785587089,0.886127828406
10,0.640571763388,0.220440215683,0.209528319903,0.938626158226,0.594777974817,0.938626158226,0.594777974817
20,0.595223942307,0.172384179118,0.157326232159,0.936720863919,0.553580985564,0.936720863919,0.553580985564
30,0.582015172915,0.147342064702,0.144752814816,0.935436389049,0.572064451544,0.935436389049,0.572064451544
40,0.487773434003,0.118214463474,0.129800115425,0.909162153566,0.549726131849,0.909162153566,0.549726131849
50,0.422776787133,0.119910869281,0.121583176973,0.954416014769,0.563534572684,0.954416014769,0.563534572684
60,0.396211296593,0.110089092499,0.123625161169,0.970588099854,0.56708243427,0.970588099854,0.56708243427
70,0.346206619449,0.102941590173,0.108452693101,0.957956669775,0.565768571072,0.957956669775,0.565768571072
80,0.325620329711,0.101964863731,0.111687429785,0.968958654561,0.563578306463,0.968958654561,0.563578306463
90,0.293554199301,0.0956940449511,0.0988823543655,0.978432244137,0.563060849955,0.978432244137,0.563060849955
100,0.269868129624,0.0997759474657,0.091874397709,0.974536092916,0.567993181912,0.974536092916,0.567993181912
110,0.234515318761,0.0998127970427,0.0838087378222,0.960884625498,0.582754812505,0.960884625498,0.582754812505
120,0.215738666312,0.0752667538282,0.0822512364177,0.980751245515,0.57626129518,0.980751245515,0.57626129518
130,0.200700450311,0.0954194312033,0.0808820259207,0.971158342901,0.583545092958,0.971158342901,0.583545092958
140,0.196352662419,0.0808728769709,0.0768208526433,0.966024513238,0.575408270247,0.966024513238,0.575408270247
150,0.18202746517,0.084552727327,0.0734983740134,0.966873678912,0.576453370271,0.966873678912,0.576453370271
160,0.190713938382,0.0907574702141,0.0762865533565,0.961754308612,0.583846687701,0.961754308612,0.583846687701
170,0.193583857175,0.0907464986321,0.0769007815994,0.962022874285,0.585127848919,0.962022874285,0.585127848919
180,0.163556020806,0.0810322941568,0.0625371044217,0.957048939225,0.590938342585,0.957048939225,0.590938342585
190,0.14012136859,0.0846103146202,0.0587879309485,0.959110541638,0.592715860886,0.959110541638,0.592715860886
200,0.150522972535,0.0756696548832,0.0590579729458,0.967491897454,0.584136488933,0.967491897454,0.584136488933
210,0.136650769265,0.0747160657911,0.0631952023747,0.966618123557,0.581575405415,0.966618123557,0.581575405415
220,0.128189657012,0.0770055905879,0.0634078106875,0.967816670298,0.571744509064,0.967816670298,0.571744509064
230,0.110485530816,0.0654876305623,0.0610346862958,0.960441409443,0.574497454052,0.960441409443,0.574497454052
240,0.10093921349,0.0653686672985,0.0597848038448,0.956377001466,0.57566813729,0.956377001466,0.57566813729
250,0.102996519649,0.0630801755749,0.058206072404,0.963396110123,0.570770110568,0.963396110123,0.570770110568
260,0.098638973498,0.0620104197107,0.0556193878063,0.960224948487,0.570022161465,0.960224948487,0.570022161465
270,0.0887256563495,0.060578998993,0.0558993927266,0.9550241719,0.570734162009,0.9550241719,0.570734162009
280,0.0904039883197,0.0598758046521,0.0545203806791,0.961156388444,0.570544543113,0.961156388444,0.570544543113
290,0.0964559500568,0.0593310470372,0.0560031211354,0.960503155609,0.568940546054,0.960503155609,0.568940546054
