Time(Iteration),WknowTheta,LinUCB
0,0.864122669538,2.24692801954
10,25.7117788424,10.0819221547
20,52.3339624872,11.5669749791
30,81.5423750052,12.4211303065
40,107.552377101,13.0905607548
