Time(Iteration),AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,2.03527930068,0.469823482683,0.383002542247,1.69779258857
10,9.29243128267,5.18464793278,3.45707846383,10.8425109379
20,13.6515196308,9.68765687844,5.31894518012,17.9063257458
30,14.5938623095,13.409717727,7.36589966486,23.2320109315
40,15.1215093764,15.7030872284,8.46035542274,27.980037205
50,15.6998086908,18.45336695,9.50860636123,31.7249227749
60,16.0895918729,21.1299282357,10.2936057642,34.3303785449
70,16.579971897,22.6861938537,11.0106165143,37.162968472
80,16.9701953172,23.7959648567,11.503489309,38.9788567606
90,17.462904509,25.1833948929,12.0809859679,40.7261448976
100,17.7492725246,26.1108097343,12.5396144359,42.8498906249
110,17.9695321183,27.0936258045,13.0665608273,44.0906217371
120,18.227461785,28.3307529788,13.4500930235,45.8644629657
130,18.4862926806,29.3300100819,14.0126600621,47.3170184096
140,18.9622320419,30.3046742735,14.4877544387,48.8180343677
150,19.1830298586,31.0333344966,14.8556659046,50.286468035
160,19.3156426379,31.6668308108,15.1415259318,51.1732917953
170,19.577942244,32.712299372,15.589191692,52.2007935114
180,19.7434758501,33.5269429954,15.9429706655,52.9914844066
190,19.9609855244,34.1221976007,16.2729856957,53.9843377613
200,20.2475887477,34.7872001467,16.4780091799,54.5779272519
210,20.4878429776,35.3490336921,16.771431579,55.7013321971
220,20.6980690489,35.6952620909,17.0776063737,56.426100161
230,20.7872000094,36.2013847048,17.2892917542,57.0716737775
240,20.940418489,36.7122542337,17.7201191849,57.7458891682
250,21.0584355337,37.13176612,17.9670384556,58.3963180713
260,21.1488405288,37.5208353219,18.149567721,58.8265153573
270,21.304086273,37.8137831219,18.4188319662,59.4689229976
280,21.4959424762,38.1220758357,18.7836662791,60.033202853
290,21.6939577776,38.506252462,19.005996805,60.6295264317
