Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,2.9174547446,0.848343910896,2.12211715131
10,7.06071813008,6.06988425491,10.6611024909
20,7.9453300696,7.14236893935,11.7708490657
30,8.2074358673,8.14292943168,12.6090967804
40,8.44530313488,8.87447906896,13.1736317421
50,8.56739654283,9.74931677957,13.7293051259
60,8.68533183283,9.99817874459,14.2573174646
70,8.80387984945,10.3282890312,14.7404796726
80,8.88488319908,10.6413849115,15.2305218155
90,8.94193202124,10.8309499094,15.7477148493
100,8.96836890313,11.0007444508,15.8780415353
110,8.97465968768,11.1646874112,16.263199017
120,9.00443613096,11.3558257944,16.4639781076
130,9.05096685763,11.5088607333,16.681077261
140,9.12982022147,11.7470691252,16.923608653
150,9.18342642564,11.9246414901,17.1105554059
160,9.299813649,11.9889249012,17.4026623265
170,9.31633988005,12.0661684877,17.5106738169
180,9.43691012693,12.1467664287,17.7203533652
190,9.45967908865,12.3595513379,17.9306545592
200,9.52298199415,12.4858117405,17.9750537939
210,9.53430316908,12.6146371502,18.1827345101
220,9.55371707804,12.7189729522,18.2918438736
230,9.56604648817,12.7782590102,18.3888372099
240,9.59038365245,12.8496853,18.4528647271
250,9.62410484105,12.8867116649,18.6311122615
260,9.64038622455,12.9725074054,18.8459822146
270,9.69149358708,12.9944918772,18.9534417256
280,9.72837352735,13.104107713,19.015936916
290,9.74007608476,13.1156929685,19.0276394734
