Time(Iteration),WCoLinUCBCoTheta,AsyncCoLinUCBCoTheta,W_W0CoTheta,WknowThetaCoTheta,LinUCBCoTheta,WCoLinUCBTheta,AsyncCoLinUCBTheta,WknowThetaTheta,W_W0Theta,WCoLinUCBW,WknowThetaW,W_W0W
Time(Iteration),WCoLinUCBCoTheta,AsyncCoLinUCBCoTheta,W_W0CoTheta,WknowThetaCoTheta,LinUCBCoTheta,WCoLinUCBTheta,AsyncCoLinUCBTheta,WknowThetaTheta,W_W0Theta,WCoLinUCBW,WknowThetaW,W_W0W
0,0.687452094337,0.534118314395,0.559635756516,0.346441075696,0.682364338811,0.964953461985,0.78516678357,0.0,0.779656137535,0.964953461985,0.0,0.779656137535
10,0.573922874651,0.18407337045,0.188667479183,0.164096315542,0.228055470511,0.975892732045,0.387964373014,0.0,0.630042457146,0.975892732045,0.0,0.630042457146
20,0.491424705171,0.0949892714683,0.177514098254,0.159292536305,0.163854827625,1.0061711936,0.28984731121,0.0,0.61221209868,1.0061711936,0.0,0.61221209868
30,0.334028127994,0.0778882321683,0.154598778232,0.142772474831,0.128952339383,0.978608140984,0.248712526288,0.0,0.610486171803,0.978608140984,0.0,0.610486171803
40,0.228560347512,0.0773012040358,0.133682506971,0.119976364755,0.111480475159,0.926625058927,0.240169164815,0.0,0.635922542035,0.926625058927,0.0,0.635922542035
50,0.200445912046,0.0703930220544,0.120014183155,0.126718124594,0.114351730713,0.947567862477,0.238240721252,0.0,0.626757163974,0.947567862477,0.0,0.626757163974
60,0.180510720387,0.0667688934552,0.130708553247,0.115132925129,0.117388970239,0.93370470215,0.230436204871,0.0,0.641820471936,0.93370470215,0.0,0.641820471936
70,0.179567951063,0.0611175857666,0.111693279548,0.103734904577,0.106146429493,0.956561623209,0.219845121739,0.0,0.627786811061,0.956561623209,0.0,0.627786811061
80,0.155825450091,0.0540766318306,0.121255742047,0.106749041983,0.109769803774,0.945810926692,0.191544771727,0.0,0.634842116179,0.945810926692,0.0,0.634842116179
90,0.142390882344,0.0533127934573,0.110916930305,0.0997112421452,0.10397922428,0.945764905207,0.190433209543,0.0,0.63754478927,0.945764905207,0.0,0.63754478927
100,0.139812663149,0.0559978934995,0.0982755722843,0.0967261218359,0.101380289548,0.955620309143,0.193792213478,0.0,0.635147528547,0.955620309143,0.0,0.635147528547
110,0.157170848261,0.0504569492121,0.0901982624696,0.0835679197135,0.0936872286533,0.962109168526,0.194513875105,0.0,0.62835943067,0.962109168526,0.0,0.62835943067
120,0.15281353584,0.0464599727992,0.0915720973712,0.0807019131599,0.092570216687,0.976846764292,0.193858611971,0.0,0.632930274357,0.976846764292,0.0,0.632930274357
130,0.141295294254,0.0395423663688,0.121320570944,0.0708521280047,0.0805906499812,0.961556279282,0.182390029717,0.0,0.63454355562,0.961556279282,0.0,0.63454355562
140,0.131575242225,0.0383267117524,0.109398042649,0.0738552730046,0.0804714876918,0.965176238161,0.170803791458,0.0,0.639604866122,0.965176238161,0.0,0.639604866122
150,0.141393243732,0.039419087146,0.134834558383,0.0781350393311,0.0783747010181,0.968826807531,0.179004385756,0.0,0.638255471551,0.968826807531,0.0,0.638255471551
160,0.127058771925,0.0404298036727,0.126191985557,0.078814082293,0.0802490233011,0.963602241057,0.177852208601,0.0,0.631996819847,0.963602241057,0.0,0.631996819847
170,0.116742642619,0.0407918750023,0.114965063341,0.0798536443069,0.0739542195325,0.967375027911,0.177629599989,0.0,0.632376766158,0.967375027911,0.0,0.632376766158
180,0.135657546098,0.0409305701115,0.118606669855,0.0785242882326,0.0726935884086,0.97195632041,0.173420651737,0.0,0.635478996526,0.97195632041,0.0,0.635478996526
190,0.134922049803,0.0358411922485,0.103678887879,0.0748989406937,0.0687281067002,0.948524719909,0.171161878564,0.0,0.635066346516,0.948524719909,0.0,0.635066346516
200,0.117633315607,0.0318506794169,0.0995428133979,0.0698106803561,0.0672076951143,0.959441491147,0.152420879654,0.0,0.634008921987,0.959441491147,0.0,0.634008921987
210,0.118985708938,0.0314755481559,0.0893815908012,0.0675537383854,0.0661847520469,0.959211444199,0.152064831837,0.0,0.62836270824,0.959211444199,0.0,0.62836270824
220,0.0996363082539,0.0324978646002,0.0821530119412,0.0697834938879,0.0663559379943,0.959175155182,0.1542314271,0.0,0.630366841785,0.959175155182,0.0,0.630366841785
230,0.0850069913842,0.0300640570602,0.0778277356906,0.0657364655361,0.061880966378,0.961553404413,0.160379950162,0.0,0.626647239424,0.961553404413,0.0,0.626647239424
240,0.0838003740518,0.0251099540193,0.0720824716824,0.0653156390188,0.0605512036256,0.955739368189,0.158757982355,0.0,0.629146147847,0.955739368189,0.0,0.629146147847
250,0.0901317209964,0.0237704247899,0.074570386412,0.0646322859269,0.0617301085518,0.949061964148,0.157657415357,0.0,0.628995040273,0.949061964148,0.0,0.628995040273
260,0.0874284134195,0.0269328745826,0.0762506758872,0.0668187639429,0.0638746016983,0.953052097703,0.170721440793,0.0,0.635131170849,0.953052097703,0.0,0.635131170849
270,0.0816183277825,0.0310580926198,0.0783400904404,0.0640828056388,0.063866172427,0.951464638859,0.170725068825,0.0,0.632586745312,0.951464638859,0.0,0.632586745312
280,0.0782531588899,0.0287980306688,0.0724339111973,0.0633290378383,0.0623991353837,0.950659980467,0.16940817387,0.0,0.630398096874,0.950659980467,0.0,0.630398096874
290,0.0806560605247,0.0320687832144,0.0712072634842,0.0595352606588,0.0604129644412,0.952271381648,0.177703959531,0.0,0.628119458076,0.952271381648,0.0,0.628119458076
