Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,1.21661291055,0.664441350828,1.7503983958
10,4.77077301884,5.05701986624,10.0013223479
20,6.42699971345,7.28350638441,15.7579203919
30,7.57028063117,8.729764864,19.3128394791
40,8.83103544321,9.70638453091,21.6020208444
50,10.3322048716,10.0891662004,22.7952637609
60,11.5390205187,10.9191898113,24.1959137515
70,12.7392611887,11.7079578567,25.75700437
80,14.0394258434,12.3687416207,27.0410866395
90,15.1447966035,12.9297828703,27.7490256793
100,15.6492709023,13.3335482689,28.8215886556
110,16.0689477385,13.7507053925,29.9417618775
120,16.5358482831,14.1482522547,30.7194652318
130,16.7156431506,14.7281068239,31.4833136878
140,17.0101729032,15.166056385,32.1558907617
150,17.4109890816,15.5496203135,32.8102527359
160,17.7060345925,16.0126656402,33.3150222614
170,18.0547638378,16.391212537,33.820092296
180,18.5137080316,16.8473136384,34.3211095333
190,18.8215629634,17.2045958016,35.2107090936
200,19.2465173782,17.5553326379,35.4868006296
210,19.552304843,18.1161784501,36.2051182264
220,19.7847649299,18.4892460311,36.6959276991
230,20.0817793359,19.0783557869,37.1089938178
240,20.2259708282,19.3474659601,37.6901246858
250,20.4938832599,19.6345034658,38.2222569836
260,20.5809084563,20.106320165,38.6198287499
270,20.6377567352,20.3830223286,38.9669647832
280,20.8321456176,20.5330426832,39.217787949
290,21.071599217,21.177482589,39.8141679125
