Time(Iteration),AsyncCoLinUCB,W_W0,LinUCB
0,0.564837029333,3.98552288222,0.564837029333
10,3.10987673452,25.8437389983,9.92395601957
20,3.63409218855,31.4701048227,11.5722201757
30,3.80413799829,33.1504840422,12.7032018627
40,4.02390160367,33.8470286846,13.404417865
50,4.06714520362,34.6623457022,13.9740378172
60,4.09993995951,35.4431569771,14.4223574824
70,4.16277012876,36.2565019023,15.0487376956
80,4.3529516063,36.6645797087,15.4541444465
90,4.53019334477,37.9108709181,16.0003185925
100,4.64163556603,38.2733398489,16.2602578331
110,4.70912850451,38.8600417249,16.5328153411
120,4.75910743975,39.1297160724,16.8506460796
130,4.76560499786,39.4398648174,17.0083753807
140,4.92796706643,41.0567470796,17.2658294821
150,4.94987442538,41.4896492782,17.3789004369
160,4.95206227468,41.7222452249,17.6646182924
170,5.02793082765,42.0040765353,17.8028453768
180,5.10830864289,42.2045574367,17.9450417357
190,5.20548370419,42.5639209468,18.069848621
200,5.27263758417,42.753640555,18.2564963587
210,5.36464107674,43.1340843884,18.380845927
220,5.39397099252,43.3560727202,18.4164686965
230,5.46624138499,43.7125094704,18.6422186601
240,5.51682008901,43.8753693014,18.7330278831
250,5.5987637006,44.0116297913,18.8319748027
260,5.5987637006,44.1446623248,18.9110915907
270,5.67788237867,44.1888231954,18.9916006264
280,5.77717227608,44.3703728055,19.1515115086
290,5.79662192345,44.5320098294,19.1701319021
