Time(Iteration),AsyncCoLinUCBCoTheta,W_W0CoTheta,WknowThetaCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,WknowThetaTheta,W_W0Theta,WknowThetaW,W_W0W
0,0.659203184228,0.72680519446,0.394369472479,0.684771220957,0.839324709749,0.0,0.887982088356,0.0,0.887982088356
10,0.181821951691,0.28571521524,0.150492899935,0.180072487225,0.411066111984,0.0,0.604219139036,0.0,0.604219139036
20,0.109372383103,0.182309806813,0.127623788181,0.149644586277,0.351553422905,0.0,0.642264166262,0.0,0.642264166262
30,0.097494036114,0.145659463798,0.11963137654,0.143691945498,0.342852723897,0.0,0.632406859316,0.0,0.632406859316
40,0.0912000924809,0.13210067015,0.110336143092,0.132918439798,0.291342052515,0.0,0.636901782572,0.0,0.636901782572
50,0.0880141002518,0.129328437307,0.108864578595,0.115835237902,0.276342724658,0.0,0.634623750328,0.0,0.634623750328
60,0.0831256938552,0.100635085095,0.108646325126,0.121635143679,0.273041445436,0.0,0.622941325946,0.0,0.622941325946
70,0.0801926006647,0.0912147341357,0.100139689102,0.113791636205,0.245827298387,0.0,0.618097199813,0.0,0.618097199813
80,0.0732461338145,0.0914935767154,0.0921518305,0.10705346981,0.237760915766,0.0,0.613327194433,0.0,0.613327194433
90,0.0854975010949,0.11731129582,0.0890290145972,0.102059849645,0.245353602702,0.0,0.622978001394,0.0,0.622978001394
100,0.0811399397952,0.1081216034,0.0870276045993,0.0932341594573,0.255713868649,0.0,0.617888107142,0.0,0.617888107142
110,0.0710013492041,0.106739329343,0.082325955541,0.0869453835944,0.220665570764,0.0,0.608215562861,0.0,0.608215562861
120,0.0652611160456,0.0859125166939,0.0835675717202,0.0859076334612,0.220446403105,0.0,0.606509202694,0.0,0.606509202694
130,0.0615693384486,0.0965245189892,0.0781697487192,0.0841321983636,0.219362790882,0.0,0.611419448481,0.0,0.611419448481
140,0.0551593709782,0.0867845921728,0.0745949713731,0.0745474760681,0.195618063112,0.0,0.61500530649,0.0,0.61500530649
150,0.0505992879815,0.0769451593494,0.0710269568943,0.0750069168828,0.194558698805,0.0,0.613954338372,0.0,0.613954338372
160,0.0437686956667,0.0791156646649,0.074194328484,0.0813112580917,0.174850122769,0.0,0.61506192754,0.0,0.61506192754
170,0.0399936468207,0.0814795652272,0.0768892203942,0.0842973915903,0.155827724071,0.0,0.607004626341,0.0,0.607004626341
180,0.037221971152,0.0705724696983,0.0707167868666,0.0791347681064,0.161442109677,0.0,0.608860201824,0.0,0.608860201824
190,0.0364859885934,0.0673189614346,0.0703295313431,0.0783857122599,0.157316955865,0.0,0.611357834789,0.0,0.611357834789
200,0.0345273372798,0.0630741247786,0.0710335909599,0.0776394870318,0.156815370536,0.0,0.617734345108,0.0,0.617734345108
210,0.0347185167069,0.0740198376755,0.0703992153454,0.078471251206,0.157533093737,0.0,0.622230825506,0.0,0.622230825506
220,0.0329682819099,0.0800570178478,0.0735254976629,0.0822898687919,0.159435834166,0.0,0.628878000634,0.0,0.628878000634
230,0.0327079470818,0.0873778282233,0.0755303797116,0.0835234923456,0.158946789,0.0,0.635161499327,0.0,0.635161499327
240,0.0345121519917,0.0824252265398,0.0730383019744,0.0780902539713,0.162423911208,0.0,0.632872103303,0.0,0.632872103303
250,0.0348425896643,0.0838186218233,0.0761938020833,0.080001216895,0.15824787539,0.0,0.634034328265,0.0,0.634034328265
260,0.0345397968671,0.0826745309179,0.0769288919323,0.0818607172954,0.154420196601,0.0,0.627081933225,0.0,0.627081933225
270,0.0356302576482,0.0842685279959,0.0759961456775,0.0785287957916,0.159602981619,0.0,0.625985679125,0.0,0.625985679125
280,0.0345003789133,0.0869297260045,0.078715485073,0.0821399681629,0.156753587938,0.0,0.628243424525,0.0,0.628243424525
290,0.0364205822862,0.0829571063237,0.0752300667037,0.0784569987234,0.168381611445,0.0,0.629841423662,0.0,0.629841423662
