Time(Iteration),AsyncCoLinUCB,W_W0,LinUCB
0,0.0571545023679,0.333890159408,0.0571545023679
10,1.6065763849,3.04120660913,2.02639657137
20,2.03404384066,4.4741655571,3.61248669248
30,2.45928292131,5.13787737223,4.54420293028
40,2.83393535458,5.82538859922,5.38031979933
50,2.83393535458,6.22424379112,5.70156937475
60,2.91448951072,6.7173430286,6.13663953362
70,3.13899350703,7.54972487037,6.69735520201
80,3.31394050874,7.76088648891,7.19385161234
90,3.47775409188,8.64942589795,8.13529774373
100,3.68472374613,9.08138120472,8.31225974159
110,3.71008654468,9.36342690024,8.78614556107
120,3.87659850418,9.97673505404,8.98557858694
130,3.92549781595,10.5231015891,9.03659251306
140,3.95827431541,11.0160737303,9.20033768501
150,3.97402287045,11.2327953618,9.24423353284
160,3.97402287045,11.3904888256,9.60451520487
170,4.01283760692,11.4738017362,9.65608289042
180,4.02297651088,11.698254374,9.73359419065
190,4.03323820356,11.785172476,9.94185026912
200,4.04393154318,12.173784228,9.96371239456
210,4.05156467766,12.7018737149,10.029503845
220,4.05156467766,13.0545148391,10.0972959808
230,4.09765792587,13.2980794871,10.1032486054
240,4.10535618178,13.5650239542,10.261506256
250,4.11937369787,13.7224327232,10.397292538
260,4.12223573148,13.8638357482,10.4170376918
270,4.13589409219,14.2792737527,10.4499952934
280,4.2667910265,14.4712006263,10.5256787715
290,4.28272682719,14.5097819873,10.595132912
