Time(Iteration),AsyncCoLin_SelectUser,LinUCB_SelectUser
0,0.207647184333,0.527972847237
10,1.06730892309,0.988751988014
20,1.77919606208,1.71136361626
30,6.12817834282,3.83137899819
40,6.21912190268,4.1115339033
50,6.24710791255,4.15468493086
60,6.32732493172,4.35203679967
70,6.57163148551,5.02250185267
80,6.69380304472,5.467945064
90,7.11894116868,6.57623716295
100,7.20847527454,7.83113552901
110,7.34267772875,8.96847288632
120,7.44264930088,9.28366386606
130,7.44517319088,9.56381877118
140,7.48832421845,9.8429780747
150,7.48832421845,9.8429780747
160,7.549905003,10.0561904086
170,7.56945083124,10.0660371598
180,7.71466964409,10.6746408816
190,7.77387057451,11.043611902
200,7.79294410647,11.0927285007
210,7.89647821263,11.2743121954
220,8.05561732081,11.5895031751
230,8.16657578387,11.8696580803
240,8.19456179374,12.1857982257
250,8.19456179374,12.1857982257
260,8.2593175671,12.2425526373
270,8.26105534105,12.290096784
280,8.42324834761,13.4601674541
290,8.48244927803,14.8539599066
300,8.52955969941,14.9826346524
310,8.66127932047,15.1344200847
320,8.67043093441,15.5114912617
330,8.67079217522,15.7916461668
340,8.69877818509,15.8593653391
350,8.69877818509,16.18957506
360,8.76035896965,16.2152268238
370,8.77990479789,16.2243530166
380,8.92512361073,17.4706136737
390,8.99083333715,19.0081554345
400,9.03794375853,19.1756489457
410,9.15916513599,19.6010623647
420,9.16305829433,19.9162533444
430,9.16305829433,20.1964082496
440,9.1910443042,20.5180671518
450,9.1910443042,20.5180671518
460,9.21722458734,20.5437189155
470,9.21896236129,20.5528451083
480,9.36418117414,20.6514485866
490,9.42338210456,20.7414264314
