Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,1.59059807787,1.26754751809,1.88685872606,0.788601541887,3.0426701835
10,12.5135746115,3.2888588075,10.0810740232,7.39169202404,12.2793135365
20,19.451695561,3.89351700088,12.7105287599,9.20957173213,13.4969627398
30,24.7528131834,4.1042464246,13.4394558927,9.80503804492,14.1419373903
40,27.6770992576,4.2667118077,14.0409706399,10.2675782432,14.6921022827
50,31.2456370164,4.41642126709,14.729957463,11.22841242,15.1262396208
60,33.0644955365,4.71990889562,15.605128016,11.8902254097,15.4623475011
70,34.7441031825,5.00376505699,16.116372416,12.4479413221,15.8766387174
80,35.5021678072,5.12075005504,16.6003818527,12.7304743307,16.0806908279
90,36.1813355056,5.31864918225,17.3133178193,13.2751151766,16.647770987
100,37.3909495626,5.57769761725,18.1021405926,13.6084101897,16.944465457
110,37.9729730757,5.6122629029,18.6458473298,13.7943724136,17.1106838062
120,38.8483751839,5.80341429435,19.1125865613,14.1500976378,17.3229866833
130,39.5473388092,5.90473509656,19.4863857607,14.457094982,17.6376189865
140,40.5822307972,6.06935885613,20.0658864671,14.604989206,17.8168346859
150,42.7930707579,6.18518222146,20.6901042459,14.8540473992,17.9687975992
160,43.5725670583,6.24524028618,21.1247255097,15.0478547179,18.1040841664
170,44.2338784572,6.31430414809,21.612284538,15.2010540951,18.367099253
180,44.8425522183,6.36565458693,22.4079551391,15.3514846428,18.5092218264
190,45.2743115745,6.38889520849,22.8112114828,15.5307151479,18.6646042227
200,45.6978717188,6.41758719453,22.9455987054,15.7182418321,18.9124173983
210,46.2810807198,6.49159451873,23.079531482,15.8250087605,19.0105773412
220,46.6952762143,6.61882862403,23.3749255255,15.9898241839,19.1770906235
230,47.2180063714,6.67237591607,23.7812842031,16.1557097249,19.3651782968
240,47.6409280939,6.68787265489,24.0951193903,16.4161846734,19.5613945121
250,47.9583203831,6.7120279299,24.3748781541,16.4772938675,19.6701457471
260,48.192706249,6.78235377702,24.5875387744,16.5752912157,19.81101804
270,48.599513579,6.84101919425,24.8869050395,16.6395466298,19.8890227111
280,48.8826591682,6.89929869264,25.121118705,16.7523162677,19.9752926716
290,49.0786935392,6.91611674864,25.2841614823,16.8368001637,20.0763579916
