Time(Iteration),WCoLinUCB,W_W0,WknowTheta,LinUCB
0,3.23567179331,1.21405861345,0.821923431168,2.96155291045
1,6.01608957085,1.68701552548,1.73880234231,5.21988992703
2,6.49202234265,2.86722061497,2.91433993267,6.37224154631
Time(Iteration),WCoLinUCB,W_W0,WknowTheta,LinUCB
0,3.33498611551,0.593243156219,0.766345161006,2.51341799708
1,6.14744706236,1.83567824858,1.49713790544,4.56717264646
2,7.04134277851,4.39572204911,2.44338276094,6.55476260413
3,8.23036960325,6.15776534433,3.74707437542,7.44915604364
4,8.99214870826,7.14283413034,4.45408131579,7.79127138688
5,9.85672320835,8.48508369326,4.51287935339,8.58577349917
6,10.7379660184,11.0497253029,4.67717495646,9.35864256927
7,11.7490038452,12.6693356703,5.35186990802,9.79734482096
8,12.6543482467,13.3300113614,5.3624049282,10.0875452055
9,13.6271751876,13.591091715,5.52278826894,10.2703302352
10,13.9126716976,14.4623149995,5.83574219123,10.9491336502
11,14.461079735,14.9867238,6.04120720519,11.5926541983
12,15.1802653225,15.1664805875,6.23648005748,11.6464183144
13,15.5421619454,15.3754544073,6.53265439628,11.732904664
14,16.4637631366,15.4329216017,6.56111277193,11.8440060287
15,16.945151401,15.8504382129,6.60111215686,11.8930401738
16,17.8396716565,16.7512933366,6.75064290094,12.013937705
17,18.4165728224,17.111945882,6.77368527234,12.013937705
18,18.5333536562,17.5212974011,6.8174596155,12.2608468756
19,19.3160439403,17.9311068882,6.92117667346,12.5967361814
20,19.9259367956,18.2849619512,6.95360520747,12.6479875
21,20.0311334757,18.7280088094,6.99720922531,12.6502324175
22,20.3217337566,18.7984266608,7.01345172541,12.7719286217
23,20.8786971624,18.8466664896,7.01345172541,13.2260489654
24,21.2026548394,19.0740682843,7.17678308243,13.3792851204
25,21.7109509893,19.2868504764,7.17678308243,13.3792851204
26,21.8134923476,19.567481873,7.26367779077,13.3807721089
27,22.1917457136,19.750288749,7.38819502048,13.5150148527
28,22.4010146564,19.9278908165,7.49794857409,13.6413378737
29,22.4963691715,20.0758891693,7.55128923993,13.7178287172
30,22.7377368133,20.1155279332,7.57456815009,13.875218524
31,23.1774708749,20.2297072992,7.60855103374,14.1488687024
32,23.4644586547,20.2401514778,7.77621578325,14.3732400536
33,23.6864850739,20.3960562866,7.77621578325,14.3952657866
34,23.7850834348,20.4719082159,7.88172064687,14.4026156606
35,23.968096852,20.6679950553,7.95783763854,14.4787326523
36,23.9947081017,20.694606305,7.98444888824,14.505343902
37,24.1281462827,20.9470336308,8.04948872435,14.6044309851
38,24.4251888226,21.1800662275,8.04948872435,14.6044309851
39,24.6422348788,21.204382504,8.06499765255,14.6044309851
40,24.8628713175,21.2757857391,8.13555842808,14.6824782817
41,24.9140130057,21.4653399949,8.17253440557,14.7294167161
42,25.1735151009,21.5223526162,8.23234055894,14.8204556409
43,25.5413740166,21.6582325322,8.24521636461,14.8204556409
44,25.8541732328,21.8552077182,8.24521636461,14.8204556409
45,26.1322994294,21.9908798183,8.31360720394,14.8864652884
46,26.3768493957,22.1737244548,8.37705851144,14.8864652884
47,26.5240739289,22.4108779387,8.48909222598,15.0319355247
48,26.6227866622,22.4685015407,8.53671800889,15.0795613076
49,26.7745104366,22.747408187,8.55702177752,15.1024074246
