Time(Iteration),WCoLinUCBCoTheta,AsyncCoLinUCBCoTheta,W_W0CoTheta,WknowThetaCoTheta,LinUCBCoTheta,WCoLinUCBTheta,AsyncCoLinUCBTheta,WknowThetaTheta,W_W0Theta,WCoLinUCBW,WknowThetaW,W_W0W
0,0.580867704081,0.637072735953,0.639378913243,0.338136612969,0.64779680269,0.935162806869,0.881127437919,0.0,0.848736649235,0.935162806869,0.0,0.848736649235
10,0.329101241921,0.156788245262,0.223250400916,0.156074213236,0.229331980684,0.917743014785,0.356341422606,0.0,0.744198980331,0.917743014785,0.0,0.744198980331
20,0.297751062962,0.128811106139,0.171711991896,0.135055116783,0.165205937413,0.909815392571,0.331370804837,0.0,0.709301239636,0.909815392571,0.0,0.709301239636
30,0.242082461539,0.0798084126436,0.138772132478,0.104250673766,0.120904494209,0.921683113342,0.276167800186,0.0,0.707558963345,0.921683113342,0.0,0.707558963345
40,0.208819367974,0.064262788735,0.108096580824,0.112650642608,0.113574835155,0.908909868707,0.244619181721,0.0,0.720148511562,0.908909868707,0.0,0.720148511562
50,0.18007598311,0.0524253593735,0.104594153438,0.106100584396,0.112180505344,0.904909690285,0.196964933465,0.0,0.713547341199,0.904909690285,0.0,0.713547341199
60,0.176730650272,0.0486312817098,0.107353806184,0.09166085826,0.106864086743,0.926165892126,0.184644848179,0.0,0.727021768276,0.926165892126,0.0,0.727021768276
70,0.174394528962,0.057128745391,0.133316943952,0.0969768311637,0.115090846659,0.919118422583,0.179215312006,0.0,0.737962827118,0.919118422583,0.0,0.737962827118
80,0.154541048011,0.0562628095709,0.129948522083,0.0941843485785,0.115874085,0.906012093823,0.168896253407,0.0,0.736129758074,0.906012093823,0.0,0.736129758074
90,0.133727804051,0.0462123417949,0.110777622438,0.0791535341731,0.102408942517,0.900653909023,0.171086366773,0.0,0.744859717537,0.900653909023,0.0,0.744859717537
100,0.133846406004,0.0450328563,0.134019342032,0.0861911191654,0.110525646408,0.913492163187,0.172866987165,0.0,0.748379737624,0.913492163187,0.0,0.748379737624
110,0.115424993016,0.0381129254512,0.110496282997,0.0816157997055,0.101589073156,0.906630930383,0.154553990154,0.0,0.74601636018,0.906630930383,0.0,0.74601636018
120,0.139006520867,0.0350113710053,0.150030206927,0.0842898546178,0.0995867174978,0.924190667596,0.146349315573,0.0,0.754360046712,0.924190667596,0.0,0.754360046712
130,0.142546674202,0.0366877894794,0.14082332914,0.0807917134254,0.0913190059222,0.926984635902,0.154676991718,0.0,0.762932964572,0.926984635902,0.0,0.762932964572
140,0.125052503118,0.0344681144955,0.124396538672,0.0812904175165,0.0890882007832,0.911378156197,0.150551813714,0.0,0.761135335966,0.911378156197,0.0,0.761135335966
150,0.129728055205,0.0342410694847,0.110517846226,0.0769616520566,0.0877948221175,0.915706882867,0.155461696897,0.0,0.749578553788,0.915706882867,0.0,0.749578553788
160,0.104195633114,0.0297661541055,0.0947209213496,0.0740727420176,0.080008560779,0.909175993708,0.150308983859,0.0,0.754721364166,0.909175993708,0.0,0.754721364166
170,0.104259916027,0.033113970474,0.102193124348,0.0731227328336,0.0818606431181,0.919560464341,0.153443387336,0.0,0.745338013631,0.919560464341,0.0,0.745338013631
180,0.11258950627,0.0331160184526,0.0947983578673,0.0754411377423,0.0838361643148,0.920706884292,0.143836676683,0.0,0.732942563837,0.920706884292,0.0,0.732942563837
190,0.0995885682114,0.0296484538976,0.0864223465787,0.0712641661087,0.0789826443019,0.925221765994,0.139757931141,0.0,0.731111828612,0.925221765994,0.0,0.731111828612
200,0.10645571474,0.0300155750823,0.0867087151684,0.0715195075198,0.0799918618575,0.918051078436,0.135858811617,0.0,0.731733057909,0.918051078436,0.0,0.731733057909
210,0.0886449887533,0.0333798374839,0.0773101152165,0.0647625566421,0.0762193373301,0.915377766927,0.140494534615,0.0,0.733012253422,0.915377766927,0.0,0.733012253422
220,0.080673197198,0.0297744027515,0.0701262877663,0.0605276342808,0.0745345211307,0.922183129434,0.13345679261,0.0,0.731122989041,0.922183129434,0.0,0.731122989041
230,0.080529708006,0.0264345715732,0.0684863639488,0.0584743730008,0.0729379250196,0.92025575866,0.136314059665,0.0,0.728980005393,0.92025575866,0.0,0.728980005393
240,0.07712482373,0.0279554139359,0.0703711024877,0.0594673074626,0.0740427039507,0.92503134274,0.134966998952,0.0,0.731167970699,0.92503134274,0.0,0.731167970699
250,0.0754903387399,0.0357803945306,0.0786574635863,0.0575640456309,0.0672563369499,0.929103446064,0.141611503292,0.0,0.73201838697,0.929103446064,0.0,0.73201838697
260,0.0688617761485,0.0337964311356,0.0766121460865,0.0593032513378,0.0700517084644,0.928188464574,0.135505093622,0.0,0.734089316576,0.928188464574,0.0,0.734089316576
270,0.0714567794707,0.0321218910728,0.0748382577017,0.0581754531252,0.06941902498,0.933527023351,0.141509374995,0.0,0.732427049823,0.933527023351,0.0,0.732427049823
280,0.0734232868259,0.0267612553674,0.059610134367,0.0571157712589,0.0649138871839,0.929808844229,0.126909241521,0.0,0.73001480582,0.929808844229,0.0,0.73001480582
290,0.0692360754959,0.0282602879099,0.0593748599367,0.0593904079084,0.0668316235135,0.93251058269,0.130042391391,0.0,0.731123617588,0.93251058269,0.0,0.731123617588
