Time(Iteration),AsyncCoLinUCBCoTheta,GOBLinCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,
0,0.45185638731,0.544099219638,0.682491370881,0.682310220904,
10,0.0719756300033,0.0607959586766,0.0364205748183,0.269361903492,
20,0.0467407420775,0.0586847389461,0.0183709904951,0.207721815949,
30,0.0348251757051,0.0624121748905,0.0134840902712,0.177575683407,
40,0.0296791457494,0.0645889799337,0.0117563832104,0.161879420163,
50,0.0255615376412,0.0643471193645,0.00895133127467,0.149852512102,
60,0.0235093557346,0.0637770052258,0.00804657388533,0.142322578787,
70,0.0213580482129,0.0641477896961,0.0073910516882,0.134958833315,
80,0.0203225535464,0.0642451372271,0.00709194609458,0.131677748696,
90,0.0182850498552,0.0645910627011,0.00644046146525,0.125192913849,
100,0.0170011936821,0.0647837972208,0.0061105401089,0.119784595541,
110,0.0157738173131,0.0647163146693,0.00540614343338,0.115134200583,
120,0.0152058453021,0.0645042473856,0.00500498499749,0.112320610536,
130,0.0143220529404,0.0643325097127,0.00497210970702,0.110471857044,
140,0.0136927764408,0.0644909732333,0.00470637047795,0.108324062002,
150,0.0133100561748,0.0642944676922,0.00468371618498,0.106772549024,
160,0.0131188665152,0.0640659403059,0.00483218987016,0.104836222372,
170,0.0126377356244,0.0640580699933,0.00464919402894,0.104390269158,
180,0.0119872566461,0.0642605853802,0.00467434179532,0.102044432529,
190,0.0115624510733,0.0646030307579,0.00464741852355,0.0989249042672,
200,0.0113095080503,0.0644354244485,0.00465485170544,0.0982920667112,
210,0.010920366991,0.0645525894735,0.00451068234764,0.0970576901657,
220,0.0106853510908,0.0645652866708,0.00450299804281,0.0959490725288,
230,0.010240855946,0.0647510712862,0.00456614529686,0.0951559575575,
240,0.00991855744789,0.0647500905753,0.00446439631934,0.0935704410895,
250,0.0098666865125,0.0648345869756,0.00453708243124,0.0926376634577,
260,0.0097659445054,0.0646998382117,0.00435783638099,0.0923248603947,
270,0.00941727171736,0.064963853083,0.00421244953906,0.0912877018732,
280,0.00927391173031,0.0649815826692,0.00423736466218,0.0906062846871,
290,0.00907650294802,0.0649065376345,0.00436471248575,0.0884098642126,
300,0.00867970389332,0.0651997251338,0.00427669009612,0.0871956609532,
310,0.00843848129009,0.0651714312132,0.00420270239374,0.0867174866151,
320,0.00819045337457,0.065311701417,0.00406808972942,0.085614705137,
330,0.00796209973151,0.0655025897988,0.00410580768938,0.0849988318618,
340,0.00792422820803,0.0653665666279,0.00391644582894,0.0844811362774,
350,0.00784861239554,0.0652638035801,0.00379533323827,0.0836573143687,
360,0.00788480241642,0.065171473808,0.00407060077878,0.0833134682198,
370,0.007576287415,0.0652088171994,0.00403704342451,0.0822382338588,
380,0.00744154149169,0.0651640703161,0.00387632066529,0.0825110311825,
390,0.00738020969846,0.0651274242354,0.00379251291486,0.0820228823353,
400,0.00729581688675,0.0651637070165,0.00368245134913,0.0818649476293,
410,0.00725366802644,0.0652772951609,0.00366846359461,0.0810482059976,
420,0.00706302042327,0.0653016927901,0.00369468242592,0.0806605467343,
430,0.00693508668193,0.0653981381928,0.00366620637719,0.0805570770235,
440,0.00673509341736,0.0654202632327,0.00367489414855,0.0800016063577,
450,0.00664602314632,0.0653968034052,0.00364210937392,0.0794894057154,
460,0.00662516369615,0.0653783407704,0.00366753003484,0.0789467921332,
470,0.00659094706106,0.0653977074318,0.00366380873402,0.0782464324352,
480,0.00653589491065,0.0654309404998,0.00355207181932,0.0780338243451,
490,0.00641026346275,0.0655840968832,0.00349857507846,0.077570438472,
