Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,2.84262012692,2.97256873049,2.74020514105,0.719618492648,2.54390781105
1,4.21183129458,5.83555888147,3.92821902891,2.05882007125,5.04158386511
2,5.31810056631,8.09304604147,4.81773723999,3.34113847974,6.73389875864
3,6.44954208813,9.63376038073,7.71914306397,3.91232363974,8.22530879255
4,7.59608193355,9.89509514015,9.30411939536,4.14197001922,8.92115815373
5,8.56999785165,10.3133225728,10.1916293107,4.30304090353,9.51365601884
6,9.94114700101,10.4551786976,11.586916718,5.12131225679,10.038750291
7,11.1109106483,10.6026603226,12.9373497007,5.18487476428,10.1102984182
8,11.6191137553,10.7143923713,14.3462200195,5.26308483096,10.3791865897
9,12.4079584821,10.7972795353,15.67434572,5.49446239094,10.4771022956
10,13.3532526245,10.8081196721,16.96838954,5.90036670408,10.5854635813
11,14.3400953213,10.885600357,17.4924035295,6.01718271554,10.6629442662
12,15.2262940415,10.9394624854,17.7824511142,6.10780675782,10.7708716127
13,16.0227162225,10.9721854651,18.0304239239,6.21640358352,10.843087248
14,16.7798235786,11.0406659116,18.2456321753,6.41634813442,10.932681918
15,17.2953211663,11.2205016806,18.3828922091,6.49448031169,11.2024462957
16,17.987240037,11.2389564512,18.6923837497,6.54168148171,11.2508794778
17,18.911892679,11.259306046,18.8218124336,6.55368267136,11.3460981334
18,19.9104572716,11.2831523154,19.0246664303,6.92846580102,11.50336411
19,20.6804493107,11.2940590554,19.0246664303,6.939372541,11.7889352916
20,20.9089262751,11.3334420487,19.1303056733,6.94777939493,11.9248346198
21,21.5183282063,11.3334420487,19.3645997246,6.98662809694,12.0126200928
22,21.8943943936,11.3334420487,19.9224484731,7.06282920055,12.0545033025
23,22.3143631444,11.395846174,20.031503421,7.26821181523,12.160646631
24,23.1164840015,11.395846174,20.031503421,7.45152495663,12.3390172435
25,23.5116109665,11.4346000837,20.1364519145,7.61346632981,12.430017085
26,24.0483457715,11.4734293535,20.1984134574,7.76565931464,12.5217359251
27,24.5351873351,11.5753865227,20.2234613326,7.86921783969,12.5939640323
28,24.7193226715,11.5950689712,20.2234613326,7.92248792619,12.645183036
29,25.2126798105,11.6393171307,20.2523027551,7.99789256688,12.876781989
30,25.9811352486,11.6485126437,20.2614982681,8.00708807989,12.885977502
31,26.6574699605,11.6810402786,20.2987563409,8.00708807989,12.9508625568
32,27.1459375584,11.6810402786,20.4272016884,8.05729111239,13.0010655893
33,27.383347011,11.6966978546,20.4701617637,8.12364525909,13.0918565359
34,27.6467189777,11.7314158576,20.5615562984,8.20168194838,13.1223240168
35,28.2610767674,11.7314158576,20.5615562984,8.20168194838,13.1223240168
36,28.6516211533,11.7553757833,20.6355124122,8.22412845558,13.2052139413
37,29.2232956283,11.7553757833,20.6598047279,8.25171500628,13.2298468426
38,29.5668608489,11.8084831039,20.7129120485,8.25643483972,13.2345666761
39,29.7726188109,11.8360759275,20.7328316691,8.25643483972,13.2627629656
40,30.2025998271,11.8409394206,20.7376951621,8.26129833278,13.3091101659
41,30.6222654063,11.8409394206,20.8293144819,8.26129833278,13.3804599586
42,30.8604149932,11.8409394206,20.964345802,8.44543670111,13.4610117974
43,31.5913323398,11.8409394206,20.9721424485,8.45323334761,13.4688084439
44,31.8437897374,11.8418076906,21.0206054733,8.52643074207,13.518034866
45,31.9410690724,11.8649347753,21.024872934,8.58972876617,13.5908040166
46,32.4767512855,11.87419664,21.1280055922,8.66275337687,13.8100328113
47,33.1667634745,11.8826798381,21.1543369728,8.68908475749,13.8100328113
48,33.3421931074,11.8999350004,21.205844988,8.73157022475,13.8700825767
49,33.3891263434,11.8999350004,21.205844988,8.73157022475,13.8700825767
