Time(Iteration),WCoLinUCB,W_W0,LinUCB
0,3.84325961775,4.114875762,1.83265623095
10,13.3238874154,22.5298144276,8.90209906438
20,20.2288626713,25.4351431189,10.1796502653
30,24.3149015565,26.7087247666,11.0828176782
40,27.2460592573,27.4864227899,11.660142735
50,30.2250365065,27.9613590389,12.1506316343
60,32.6360248516,28.8084470237,12.5680629471
70,34.0430468727,30.0115101461,12.9353318761
80,35.289125038,30.9995136157,13.1841043247
90,36.9196770346,31.849348884,13.2953584555
100,38.0966760599,32.5464443675,13.3742529048
110,39.1451306926,35.5648246864,13.5370511656
120,40.1635369809,36.3372537183,13.5766945267
130,40.6862172786,36.9739452419,13.6725063166
140,42.0382482603,37.9627205925,13.7830954203
150,42.9687779166,38.550954627,13.9994358697
160,44.6681973832,39.156334607,14.2040620546
170,45.2916181052,39.5611403232,14.2741432862
180,46.6452192934,39.9986750965,14.3306932735
190,47.3569411457,40.321929586,14.3561875191
200,47.8884624801,40.630468031,14.4729046706
210,48.2108046291,40.9798542516,14.5445502839
220,48.4452392922,41.1786440327,14.6086598462
230,48.846259377,41.4305619099,14.6959116502
240,49.3352072916,41.5818292424,14.7566191142
250,49.5796758121,41.8384187951,14.7806151307
260,49.8185880306,42.0621083994,14.9486874831
270,50.1975752243,42.3971229721,15.1095050192
280,50.3964191734,42.8172373849,15.2092466462
290,50.8513788043,43.1338512397,15.3419139943
300,51.0540646523,43.3370501575,15.5048371231
310,51.273165811,43.5706795179,15.6370171915
320,51.5655758905,43.8473592787,15.8042111127
330,51.6912327502,44.0387132958,15.9090841706
340,51.9992707318,44.2912460407,16.0085959806
350,52.1996217562,44.4568749254,16.0598503962
360,52.5410770523,44.5824630143,16.140535939
370,52.9516468435,44.8794041387,16.2716511053
380,53.2908003977,45.2362696608,16.4508302546
390,53.5152103974,45.4421084983,16.5677982367
400,53.6729223562,45.5989832601,16.6600517574
410,53.849022097,45.7754449154,16.6952833099
420,54.01133669,45.892113992,16.7229581597
430,54.1034852168,46.1431873761,16.7706110002
440,54.2288758048,46.3702967175,16.8079749346
450,54.4272739106,46.5357876697,16.8553986831
460,54.5898449521,46.7797859452,16.9908575349
470,54.7007216304,47.0198599342,17.0219424653
480,54.8554583138,47.1874307197,17.101281942
490,54.9761420924,47.2877324182,17.1588075101
