Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,1.06865686317,1.12321283501,2.04078633137
10,2.80355576223,8.05772785454,9.68384096848
20,3.23852864358,9.31419648964,10.9503818566
30,3.3733753988,10.2062083415,11.7110622083
40,3.6698015539,10.9913154403,12.4676609521
50,3.954412291,11.8150357065,13.2406570171
60,4.11000903633,12.6204706407,13.7423916322
70,4.20587729404,13.064124332,14.1988444884
80,4.26561997096,13.5514001262,14.6944092892
90,4.41773423045,13.9238162767,15.0506015398
100,4.54978624126,14.1308508406,15.7703322714
110,4.64314603112,14.4554536266,16.2261687107
120,4.68633300537,14.7662655871,16.693207046
130,4.78853477058,14.903800543,17.2368328945
140,4.83213771275,15.0214133484,17.5231598328
150,4.93165145676,15.3122913903,17.8558237935
160,5.09935338347,15.6623484336,18.4834974385
170,5.12137322931,15.9067663438,18.5956181037
180,5.16079485871,15.9684053164,18.7691305663
190,5.23592518815,16.1673867843,18.9492850664
200,5.38091149114,16.3389787707,19.1026141626
210,5.41946721242,16.5109749466,19.3122777105
220,5.47799068857,16.6933310152,19.4353694609
230,5.50742143578,16.8161810783,19.5834224909
240,5.61622733197,16.9840068018,19.8171151621
250,5.65231824347,17.0668085041,19.9855828541
260,5.70170760846,17.2123242897,20.1396453142
270,5.75848848993,17.3644880409,20.3909841057
280,5.79693923538,17.455488309,20.4612237552
290,5.85697204447,17.6586841616,20.6622505084
300,5.87718430023,17.7005277866,20.7634972987
310,5.96168884561,17.8624290631,20.9531608814
320,5.98998826683,17.9694194026,21.0054235486
330,6.05699626475,18.1773786943,21.1842362844
340,6.07588273398,18.3210834244,21.3593969431
350,6.11679859814,18.4777072477,21.4978404014
360,6.1582118721,18.7110054585,21.6018689286
370,6.21073413382,18.7892182642,21.699841957
380,6.22791289915,18.9546430023,21.7764774272
390,6.28297747002,19.0371374171,21.8336382321
400,6.31090580475,19.0815055078,21.855244169
410,6.32510780571,19.1419127763,21.8629765001
420,6.32840372279,19.2306693911,21.925133245
430,6.33741319732,19.2450631462,22.0079885047
440,6.37714660672,19.2816929068,22.0446182653
450,6.40057565551,19.2926961539,22.070159808
460,6.40848214743,19.3807507639,22.138382998
470,6.42562149792,19.4041336973,22.1628667906
480,6.43444712952,19.4386660821,22.218143452
490,6.48968165237,19.4650877933,22.2807730615
