Time(Iteration),WCoLinUCB,W_W0,LinUCB
0,3.72794979897,2.63826367119,2.59889485532
10,9.96373500693,7.92615620766,9.10516165811
20,13.0602713807,9.39360449349,9.98223188422
30,15.5316429433,10.7924580154,11.0730431555
40,18.125591393,12.1895090254,12.456531143
50,20.566150477,13.5804328122,13.2591970092
60,22.7847658703,14.4373237477,13.6566126127
70,23.7981769972,15.8770709683,13.9755176136
80,25.2127389994,17.6850306387,14.439490378
90,26.8236527485,18.5062359595,14.7389702406
100,28.4794735755,19.5906789165,15.0442777113
110,30.6808807602,20.2429744655,15.3305697257
120,31.7122654984,20.4939100306,15.4225512476
130,32.3333405467,21.251551329,15.5856077679
140,34.9078582766,21.5671751699,15.6852894813
150,35.4243884708,21.8707975253,15.8105400343
160,38.0289321405,22.219468217,15.8848045712
170,38.3564322722,22.4886150938,15.9915720049
180,38.6376964818,22.7043205094,16.0406183024
190,38.9768339121,23.0108939176,16.1673718795
200,39.1845180887,23.2908421151,16.1934138643
210,39.4780956483,23.5340031189,16.3519037734
220,39.863909919,23.8411830706,16.4729590093
230,40.1333010923,24.0789060083,16.5494191686
240,40.4793865529,24.3936596692,16.6132105217
250,40.9648171182,24.5750716832,16.740057114
260,41.256779541,24.7562552043,16.785945798
270,41.6125253922,25.010018138,16.8642789145
280,42.0285467521,25.4519843721,16.9758508893
290,42.4060306053,25.8913096971,17.141532342
300,42.7165210659,26.0534623989,17.2411922357
310,43.070141958,26.3849642078,17.2829919794
320,43.3037527957,26.6945076462,17.3003866833
330,43.4864927304,26.812402824,17.3934463164
340,43.8057830936,26.9215937808,17.4781334916
350,43.9333493215,27.1665039691,17.5889293027
360,44.2086264815,27.356718959,17.6064553025
370,44.3472589112,27.4423892719,17.7177940948
380,44.5556688419,27.5400741175,17.8250414854
390,44.800348639,27.6463984085,17.8383538604
400,45.138918813,27.8335232391,17.898476455
410,45.3334115701,27.9734659397,17.9472388721
420,45.4253862545,28.0250215946,18.0283377469
430,45.5294579591,28.1012376322,18.0745355128
440,45.7028462014,28.1838206285,18.1365429542
450,45.858645148,28.195412107,18.1862062537
460,46.1073971746,28.3260077554,18.3092128388
470,46.1808872194,28.3913943653,18.3838681321
480,46.406130703,28.5022474253,18.442143768
490,46.5212949048,28.6063548233,18.4962262058
