Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,1.78691352276,3.11789694825,1.36894099131,0.843953559892,2.7000339525
10,9.43100965759,7.57098400545,9.67348182171,5.83034595254,10.4203657809
20,15.1402938596,8.01146836301,14.0044399829,7.16161973998,12.7527541643
30,21.3418537939,8.7669433554,15.669516896,8.32858819201,14.2252146054
40,28.0472496705,8.91076439706,16.314753197,8.6026183534,14.5443547485
50,33.6987224205,9.13791260892,16.7456441293,9.07531142035,14.7348125672
60,37.5200237117,9.29994330525,18.6520556828,9.21922561732,15.0275658087
70,42.2843273748,9.4312665261,19.2762541864,9.41003499883,15.1961031865
80,45.4171772774,9.60612561993,19.838883954,9.72879901563,15.5531857904
90,46.993742353,9.71490867501,20.3111611881,9.89823678357,15.9263914737
100,49.0167658394,9.87167131956,21.5457746639,10.0181828192,16.0194874619
110,50.1582227575,9.97475012555,22.3050479406,10.2170902271,16.211771996
120,51.1109910695,10.0250599272,23.3956611761,10.4080111123,16.4526497826
130,53.1350952074,10.1506793903,24.2846009873,10.640523428,16.7749072015
140,53.9588035081,10.2776125507,24.9143012645,10.8168915453,17.0141985312
150,54.9373309324,10.4179565657,25.3520054248,11.0771302889,17.3559638226
160,55.4527619245,10.5014502713,25.4722322368,11.2202301506,17.5930137607
170,56.9391442701,10.526314913,25.7440386973,11.2638983711,17.6642252504
180,57.4973113428,10.5688636195,25.7968384556,11.3794045196,17.7006078003
190,57.8400944917,10.653361387,26.0520301558,11.5624993951,17.8861248718
200,58.2340245127,10.7143435971,26.0932914516,11.5847984994,17.9347428652
210,58.5587021444,10.7459484902,26.2253281268,11.7045750487,17.9765438655
220,58.7295817945,10.7650519367,26.2882193165,11.8132264401,18.0514075136
230,59.0482983898,10.8223593757,26.4579767042,11.9147642775,18.1529453509
240,59.1897963005,10.8390017352,26.5948188149,12.0369959608,18.2343653656
250,59.3307776535,10.8975105702,26.6894279625,12.0724720212,18.2937926639
260,59.6675763649,10.9352907896,26.8755937446,12.1999666751,18.4072797656
270,59.9794871158,10.956205631,26.9828667116,12.2751129769,18.4784787061
280,60.213299806,10.9765575127,27.1165914237,12.3419052243,18.5371203185
290,60.5650132698,11.0191411148,27.3269208232,12.4692308041,18.6310454428
300,60.8250222733,11.0242077544,27.5662947153,12.5651646953,18.6666823596
310,61.1199617091,11.063859359,27.807155235,12.6203895625,18.7256666924
320,61.3930367249,11.0990221918,27.947290514,12.6517099987,18.7416523922
330,61.5788978294,11.099043746,28.17399218,12.7018324636,18.7948275033
340,61.7046380071,11.1276226415,28.2197901673,12.759427545,18.8390054479
350,61.8812713983,11.1358757491,28.3456946356,12.8582617453,18.9378396482
360,61.9237205886,11.1463580888,28.4986656697,12.8824915022,18.957751607
370,62.0268622359,11.1510231115,28.558784035,12.9085453166,18.9838054214
380,62.1238725677,11.1535702665,28.624282658,12.9646276786,19.0388990298
390,62.4399051626,11.1576631763,28.7212648664,12.9977929798,19.0828135245
400,62.6531537215,11.1590219234,28.8025077708,13.0140688091,19.1197171585
410,62.7839809346,11.1661991992,28.9575939498,13.0546890182,19.1595838233
420,62.9224082071,11.1911641956,29.0489867482,13.0892479611,19.1899772569
430,63.0727862368,11.2312266505,29.1849822587,13.1452723258,19.2460016217
440,63.2970868903,11.249436847,29.3424432382,13.1897883597,19.2984556727
450,63.3925140864,11.2649672722,29.4343969008,13.2511113223,19.3454278564
460,63.4839350994,11.2692441016,29.5001154996,13.2661781847,19.3625915315
470,63.6174554453,11.2826284538,29.5619576847,13.3162410037,19.398954448
480,63.743586631,11.2837295964,29.6806694217,13.3445430945,19.4308148625
490,63.9028417835,11.3168709623,29.7848780847,13.3799566087,19.4662283768
