Time(Iteration),AsyncCoLinUCBCoTheta,WknowThetaCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,WknowThetaTheta,WknowThetaW
0,0.705801242729,0.309664575387,0.714465881842,0.901398208276,0.0,0.0
1,0.689557893194,0.223811759573,0.563477694584,0.882465318163,0.0,0.0
2,0.569657235422,0.201126037879,0.511612387058,0.759435617147,0.0,0.0
3,0.357303307952,0.149155346388,0.412077042525,0.565332565902,0.0,0.0
4,0.226632873266,0.152108010016,0.322805536962,0.420487438158,0.0,0.0
5,0.162420365333,0.164141213295,0.280324855164,0.372433729581,0.0,0.0
6,0.121310076833,0.229766213642,0.257545392983,0.309002241849,0.0,0.0
7,0.12561920242,0.337710996939,0.259561531603,0.301718496262,0.0,0.0
8,0.123992401095,0.415026480149,0.259392608755,0.290249282795,0.0,0.0
9,0.1202297704,0.32661372844,0.256709317588,0.284850256741,0.0,0.0
10,0.110557436543,0.489278820215,0.228233181975,0.282134233511,0.0,0.0
11,0.10821008945,0.43608191188,0.225833532515,0.288342905691,0.0,0.0
12,0.108401302932,0.438427661873,0.228139408803,0.288438790927,0.0,0.0
13,0.109337113272,0.512115346093,0.21971849128,0.297590863994,0.0,0.0
14,0.112112746294,0.501876107887,0.222852849263,0.317574277401,0.0,0.0
15,0.118255195544,0.605880306816,0.22077055176,0.309392856715,0.0,0.0
16,0.116154386189,0.544394341011,0.211735003024,0.307093238434,0.0,0.0
17,0.112880047699,0.405849513034,0.216841418193,0.302336040062,0.0,0.0
18,0.109873760224,0.513855045747,0.208198043036,0.295747862089,0.0,0.0
19,0.110530550438,0.458020432115,0.201487785832,0.296711656807,0.0,0.0
20,0.110011493481,0.626948421388,0.19901282745,0.290894349971,0.0,0.0
21,0.112444932772,0.37340525672,0.199388520485,0.294486684014,0.0,0.0
22,0.115530889923,0.559857099815,0.180046893453,0.29862351298,0.0,0.0
23,0.114170585312,0.410389799035,0.172231326614,0.292828048976,0.0,0.0
24,0.118737232328,0.362528635259,0.16679525285,0.302886670493,0.0,0.0
25,0.121688562703,0.44880133757,0.171887959185,0.307507732819,0.0,0.0
26,0.123293061981,0.61868544499,0.157139234201,0.31090438333,0.0,0.0
27,0.121682898589,0.68905454331,0.156873035867,0.303491502471,0.0,0.0
28,0.112759908025,0.613948284214,0.15333201917,0.291374840903,0.0,0.0
29,0.111729694969,0.544677736415,0.154494220955,0.2892635893,0.0,0.0
