Time(Iteration),AsyncCoLinUCBCoTheta,W_W0CoTheta,WknowThetaCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,WknowThetaTheta,W_W0Theta,WknowThetaW,W_W0W
0,0.697275011243,0.753233626591,0.310179536933,0.659383396702,0.896986227601,0.0,0.928718575797,0.0,0.928718575797
10,0.142506399832,0.259607049109,0.165416846488,0.20195461435,0.408873252598,0.0,0.608554102834,0.0,0.608554102834
20,0.13293146362,0.188012261657,0.138827135901,0.150321295671,0.392690614786,0.0,0.602193967036,0.0,0.602193967036
30,0.118473054927,0.15675223494,0.12001879869,0.133943903484,0.373316574776,0.0,0.585804461726,0.0,0.585804461726
40,0.105035277193,0.156125545893,0.108782237039,0.122538076928,0.365492245437,0.0,0.596146066903,0.0,0.596146066903
50,0.0882886957091,0.125958027775,0.0976174045258,0.127464182319,0.327520069071,0.0,0.587488381672,0.0,0.587488381672
60,0.0666056353526,0.126925232674,0.0898900866035,0.117526146629,0.287765715544,0.0,0.59559676432,0.0,0.59559676432
70,0.0662950004599,0.135917227815,0.0945724071153,0.121517364598,0.280180368751,0.0,0.596162367572,0.0,0.596162367572
80,0.067415928073,0.117315846588,0.0882300098687,0.109117833897,0.274855683004,0.0,0.593154790533,0.0,0.593154790533
90,0.0726808125373,0.129444910027,0.0914080575363,0.10927366875,0.285631321631,0.0,0.594385394871,0.0,0.594385394871
100,0.0693006940361,0.117626480614,0.0830326335019,0.100536886583,0.266311334247,0.0,0.59002246515,0.0,0.59002246515
110,0.0772555581695,0.119959560215,0.0780283830333,0.0945454646014,0.278473593197,0.0,0.613483975854,0.0,0.613483975854
120,0.0714512591584,0.105533707624,0.0772778059209,0.0911913228564,0.255557134369,0.0,0.596425437044,0.0,0.596425437044
130,0.0690161149859,0.0948422354617,0.0785999697206,0.0872947953912,0.252867178419,0.0,0.60576931614,0.0,0.60576931614
140,0.0654220774169,0.0875909352113,0.0761936256583,0.0840095880079,0.239854344647,0.0,0.599898052906,0.0,0.599898052906
150,0.0614967419332,0.100336495092,0.0769746852938,0.083877678743,0.235055929331,0.0,0.605008047877,0.0,0.605008047877
160,0.0603483063062,0.0853210766838,0.0747507770844,0.0795465090289,0.231751056549,0.0,0.599198148038,0.0,0.599198148038
170,0.0595408362207,0.082546395888,0.073220737184,0.0788030098053,0.22736349407,0.0,0.600497339102,0.0,0.600497339102
180,0.05761358027,0.100179347728,0.0722499068502,0.076924637938,0.222216333005,0.0,0.608935012562,0.0,0.608935012562
190,0.0572883188832,0.0946189882549,0.0730641905705,0.0786083630282,0.217256869573,0.0,0.60270642055,0.0,0.60270642055
200,0.0577981125077,0.0931452072466,0.0738644917018,0.0799649125372,0.217108516849,0.0,0.601576058212,0.0,0.601576058212
210,0.0527988694077,0.0920861123095,0.0728764584076,0.0775456380412,0.203990845793,0.0,0.604670671385,0.0,0.604670671385
220,0.0491186057511,0.0855637681366,0.0705137910897,0.0703351786641,0.20044395063,0.0,0.602962793308,0.0,0.602962793308
230,0.0464184591831,0.0812448721336,0.0660352364726,0.0689863255107,0.199841678537,0.0,0.597167167019,0.0,0.597167167019
240,0.0475589390725,0.0862151665412,0.0649471212878,0.0687037459499,0.203536022324,0.0,0.601091252417,0.0,0.601091252417
250,0.0473623743605,0.0813937336816,0.0658433138352,0.0683770225198,0.210472212246,0.0,0.601688335347,0.0,0.601688335347
260,0.045428156072,0.082086662177,0.0596109582602,0.0658062634519,0.198078575957,0.0,0.601806501499,0.0,0.601806501499
270,0.0431546012102,0.0767317903198,0.0611736109922,0.066591831405,0.195250181912,0.0,0.601395863304,0.0,0.601395863304
280,0.0442791798786,0.0744117659434,0.0604950185089,0.0641296347582,0.19635373805,0.0,0.594673646066,0.0,0.594673646066
290,0.0424611321173,0.0678824740209,0.0577269649199,0.0613512654396,0.186406026838,0.0,0.596336644409,0.0,0.596336644409
