Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,2.18189551563,0.801753852436,1.85585744002
1,2.74148550012,1.89673915512,4.81371695487
2,3.20948073004,2.29674084169,5.48341407401
3,3.54975582783,3.33409754173,7.03443639705
4,3.65570679257,3.69568740624,7.62098663202
5,3.77774225558,3.80406284456,7.91104582631
6,3.8062669147,4.30066061828,8.41629006877
7,3.84485677575,4.41602445395,8.75716013012
8,3.98576746521,4.64884627268,9.1003007672
9,3.98576746521,4.76650389946,9.50521736862
10,4.03357167351,4.83672039375,9.61838691732
11,4.064724059,4.894453331,9.77520177957
12,4.06880085458,5.10653155863,10.1450013345
13,4.08232724075,5.15999771602,10.2952030723
14,4.08232724075,5.25342526084,10.4410434384
15,4.08232724075,5.40226675906,10.5192108894
16,4.09901737993,5.44390438708,10.6525565421
17,4.10426225984,5.49754760555,10.6878647221
18,4.13318553489,5.55233731565,11.1180042768
19,4.13318553489,5.96949661278,11.4902968895
20,4.13318553489,6.12432787044,11.6691124361
21,4.17325788753,6.17582529823,11.7091847887
22,4.1754096494,6.2811617134,11.7921832913
23,4.1754096494,6.31851268184,11.9135925932
24,4.21786179828,6.68859037885,12.1772825357
25,4.22753640472,6.6982649853,12.2727417512
26,4.25418763731,6.76934673917,12.4101103487
27,4.26488079423,6.83650989564,12.4101103487
28,4.26760309907,6.83650989564,12.5906066843
29,4.32798989357,7.0755136776,12.6509934788
