Time(Iteration),AsyncCoLinUCBCoTheta,WknowThetaCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,WknowThetaTheta,WknowThetaW
0,0.748795324811,0.319690908851,0.669578686017,0.937786012572,0.0,0.0
10,0.114456116186,0.371889710189,0.20355866062,0.318224755362,0.0,0.0
20,0.0891687581165,0.506548025051,0.168679442433,0.273614564892,0.0,0.0
30,0.054015343232,0.569015028007,0.147804631382,0.227562806191,0.0,0.0
40,0.0444681254424,0.496318465951,0.144834265447,0.190909326472,0.0,0.0
50,0.0452238879493,0.447495025543,0.145555689149,0.204829325518,0.0,0.0
60,0.0564710078029,0.535580459047,0.132723258576,0.219166561578,0.0,0.0
70,0.0513317283919,0.541363287463,0.129472989842,0.218473912209,0.0,0.0
80,0.0484088455922,0.503681539861,0.12221781607,0.195412172293,0.0,0.0
90,0.0398259586721,0.474694958855,0.113861460214,0.186899250282,0.0,0.0
