Time(Iteration),AsyncCoLinUCBCoTheta,W_W0CoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,W_W0Theta,W_W0W
0,0.533466503457,0.582399640022,0.635293284066,0.777729985195,0.812088508885,0.812088508885
10,0.152337881794,0.297175235063,0.230526298932,0.404531027003,0.726655337204,0.726655337204
20,0.103658252435,0.182920489137,0.168074451529,0.309032421282,0.65592104863,0.65592104863
30,0.101933165974,0.16252568223,0.14647506057,0.275966241294,0.669128566543,0.669128566543
40,0.0910212660307,0.162635936538,0.14860219722,0.257364024936,0.705866406581,0.705866406581
50,0.0648376110869,0.126906259645,0.15134817961,0.214900812407,0.709785950654,0.709785950654
60,0.0660927504336,0.125587216611,0.149310618047,0.212045541711,0.710251859955,0.710251859955
70,0.0575007977151,0.13266056213,0.13641156683,0.195093125166,0.704725595046,0.704725595046
80,0.0572706356011,0.121446104263,0.119532741472,0.173886147686,0.709588252997,0.709588252997
90,0.052716226771,0.110011610526,0.106480790611,0.176029824478,0.705973232102,0.705973232102
100,0.0542005120635,0.0992084902376,0.0991147422966,0.177195397769,0.708847562963,0.708847562963
110,0.0585588485897,0.0931729203,0.0981692956243,0.183417611813,0.713760812524,0.713760812524
120,0.0579847511484,0.0986911858305,0.0917955944119,0.190094835198,0.723801591428,0.723801591428
130,0.0530592953678,0.0929364804042,0.0910006441366,0.184151022712,0.716247337149,0.716247337149
140,0.051683922497,0.0883452414075,0.0837039859097,0.184622563337,0.708357074339,0.708357074339
150,0.0463078553588,0.0760130765656,0.0807558655467,0.187447365625,0.710893506703,0.710893506703
160,0.0415593752492,0.0679056761222,0.0798702114826,0.176803251893,0.715497474502,0.715497474502
170,0.0434139759061,0.064528045009,0.0707975570306,0.178706917271,0.712181051682,0.712181051682
180,0.0450976680682,0.0690481355917,0.0680035698399,0.172582220922,0.716527956302,0.716527956302
190,0.0460050852029,0.0659110775576,0.0641876704835,0.172954169894,0.716885998404,0.716885998404
200,0.0448629776741,0.0703787436354,0.0643653797577,0.171833448865,0.714568819661,0.714568819661
210,0.0404394770848,0.0698754469385,0.0653317275329,0.175490955465,0.717113612614,0.717113612614
220,0.0399262373906,0.0749106435957,0.0676298195521,0.181345688993,0.715077252378,0.715077252378
230,0.0416689966696,0.0723360017999,0.070838097592,0.189201781616,0.7124764137,0.7124764137
240,0.037550364285,0.0669820416855,0.0670141126021,0.181623513004,0.708372528184,0.708372528184
250,0.0378281527708,0.077344372627,0.0687055727057,0.190475642299,0.707746037189,0.707746037189
260,0.0366057937899,0.0689051423894,0.0652628814347,0.187871240602,0.711167153022,0.711167153022
270,0.035769570339,0.0656111718479,0.0628830867098,0.18479286479,0.710501210686,0.710501210686
280,0.0351534818358,0.0644543262493,0.058496351717,0.182621590145,0.711031952903,0.711031952903
290,0.0356899304122,0.0629006810853,0.0590667392903,0.176121905665,0.713465873467,0.713465873467
