Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,0.642518716614,2.51352118308,2.30711706065,0.775553457078,2.62678370521
10,9.74382478159,4.10798398582,9.53672521526,6.03523621214,10.1074549906
20,14.7249555224,4.97511124279,11.3626736794,6.68207688275,11.6620627775
30,18.6451854543,5.43997088169,12.3248090577,6.95686750065,11.9097114784
40,20.5727214755,5.63406460394,13.1676444282,7.50720681815,12.5651984744
50,22.2527773781,5.74883968966,13.5779897497,7.73414113367,13.0155924662
60,23.3318463281,5.94581582924,13.7259287944,7.91079879579,13.3042419262
70,24.6746633707,6.02087016951,14.1040867016,8.1010910002,13.6683270316
80,25.2273119648,6.06246439057,14.5788420682,8.21367203279,13.8715647636
90,26.4923741375,6.12682781364,15.1608803597,8.45664891205,14.1417091741
100,27.8979067354,6.15513102281,15.7239855755,8.67850558855,14.5246157532
110,28.6250084267,6.23661805311,15.9409565648,8.80878120247,14.7525550284
120,29.1868475568,6.25135205492,16.8119432385,9.06745514383,14.9323593825
130,29.7585452438,6.27686078331,17.8319486697,9.28924053789,15.2625075123
140,30.7435371332,6.31764261669,18.9654291774,9.41986433149,15.3642945131
150,31.2997534763,6.3396665537,19.456785502,9.5552571861,15.6420735669
160,32.384831352,6.34767488312,20.0223825171,9.74688630638,15.8957283084
170,33.1605939498,6.37307359367,20.4186138789,10.0018341171,16.1976122669
180,33.77813959,6.40380152935,20.7463574924,10.0715600127,16.3288561758
190,34.0352703109,6.46194468075,21.2345247532,10.2093464192,16.4629809635
200,34.2843674279,6.48060142448,21.3852277036,10.4000125406,16.6905937521
210,34.9613926124,6.53891569428,21.6419744967,10.5643280639,16.8839636297
220,35.370215125,6.61071794201,21.7664442352,10.7218529233,17.0004777954
230,35.6866099094,6.65685827793,21.968668377,10.9713083634,17.2728215497
240,36.0429906006,6.74557921577,22.3369292315,11.1972118742,17.5500984298
250,36.3354386512,6.76620973558,22.5783102113,11.4360479233,17.9172211483
260,36.5203456239,6.83986525149,22.9802706435,11.6459815706,18.1271547956
270,36.6634054267,6.90335042955,23.2291043973,11.7600557711,18.2945260942
280,36.8489890011,6.94648166434,23.3775134443,11.7898189565,18.3697764744
290,37.0745079509,6.95830704731,23.5785760646,11.9515766987,18.5024119429
