Time(Iteration),WCoLinUCBCoTheta,W_W0CoTheta,LinUCBCoTheta,WCoLinUCBTheta,W_W0Theta,WCoLinUCBW,W_W0W
0,0.77697735332,0.454851035853,0.650352196609,0.983036999019,0.960594088126,0.983036999019,0.960594088126
10,0.443647554986,0.283841933529,0.188444812219,0.964351088845,0.903276951795,0.964351088845,0.903276951795
20,0.407392277695,0.229824331768,0.166869587015,1.14224052039,0.927523075403,1.14224052039,0.927523075403
30,0.386206396489,0.224056383662,0.157954938512,1.17043365353,0.927679868826,1.17043365353,0.927679868826
40,0.352993635086,0.207333907375,0.146924256569,1.20964977165,0.926423660717,1.20964977165,0.926423660717
50,0.328393694272,0.211355047097,0.131745283568,1.23599460616,0.924963951372,1.23599460616,0.924963951372
60,0.321761792559,0.204973279398,0.126401403458,1.25764722728,0.921947028149,1.25764722728,0.921947028149
70,0.318144117932,0.207732904518,0.120801629191,1.27062303863,0.927252072144,1.27062303863,0.927252072144
80,0.290269408381,0.205274160742,0.103217849364,1.33095806855,0.925849256696,1.33095806855,0.925849256696
90,0.292669713432,0.202160209246,0.103814088628,1.41259769618,0.929374894898,1.41259769618,0.929374894898
100,0.31071166939,0.176038714963,0.0915951422564,1.52031908198,0.930700207588,1.52031908198,0.930700207588
110,0.257341733379,0.152046477478,0.08945023507,1.54697921778,0.922987920921,1.54697921778,0.922987920921
120,0.23100635363,0.14449436666,0.0895025955334,1.53163087115,0.920838973581,1.53163087115,0.920838973581
130,0.266648435078,0.162149749079,0.0732721335685,1.47624012168,0.925517801894,1.47624012168,0.925517801894
140,0.206778489054,0.115695989754,0.070193276898,1.46425723158,0.915771396067,1.46425723158,0.915771396067
150,0.209034020787,0.108646658974,0.0721575700633,1.46086802225,0.91711289922,1.46086802225,0.91711289922
160,0.215866312658,0.107361743991,0.0727775743474,1.52216085577,0.91473221738,1.52216085577,0.91473221738
170,0.213180804542,0.107288386514,0.066073882846,1.50382579986,0.914414284329,1.50382579986,0.914414284329
180,0.214988204942,0.10705915705,0.0614147699775,1.49571584551,0.914751151956,1.49571584551,0.914751151956
190,0.224714697389,0.117835976716,0.0595942979683,1.49043992808,0.916980296337,1.49043992808,0.916980296337
200,0.191958996233,0.111857457507,0.057707616347,1.47182977828,0.913663669507,1.47182977828,0.913663669507
210,0.181610190591,0.120229930285,0.0587423554639,1.49578124826,0.913721405841,1.49578124826,0.913721405841
220,0.176845658655,0.111975625886,0.0588552058914,1.491652136,0.912847000087,1.491652136,0.912847000087
230,0.160339610375,0.10372319006,0.0562836838648,1.4969511151,0.911849190489,1.4969511151,0.911849190489
240,0.136197372273,0.0996373621716,0.0544510395054,1.49912761508,0.912356441321,1.49912761508,0.912356441321
250,0.134630771251,0.076208322006,0.0542473554001,1.49529677151,0.912188926571,1.49529677151,0.912188926571
260,0.131020664358,0.0753717721078,0.0545386245312,1.50056640163,0.912327630356,1.50056640163,0.912327630356
270,0.131199369216,0.0700670992385,0.0538450504576,1.50375493613,0.915410987583,1.50375493613,0.915410987583
280,0.12216376418,0.065973987186,0.0524229790221,1.49864358459,0.916782837312,1.49864358459,0.916782837312
290,0.122439072812,0.065239866517,0.0522476511581,1.49932393433,0.917188150296,1.49932393433,0.917188150296
300,0.119330787551,0.0662596214353,0.05202671835,1.4919264507,0.916569565925,1.4919264507,0.916569565925
310,0.119683642689,0.0686631859797,0.0509579032046,1.49184369865,0.916772945876,1.49184369865,0.916772945876
320,0.112532912909,0.0594038595764,0.0460893214358,1.4868258933,0.915322986566,1.4868258933,0.915322986566
330,0.10748592867,0.0548791248788,0.0453401144741,1.49581668926,0.915425876153,1.49581668926,0.915425876153
340,0.107473718147,0.0571843886248,0.0466003888455,1.498769793,0.915123611094,1.498769793,0.915123611094
350,0.101293373578,0.0528822626959,0.0430855230611,1.49716315916,0.915815146854,1.49716315916,0.915815146854
360,0.0959770913439,0.0506713315102,0.0423104157047,1.5005357273,0.915125272554,1.5005357273,0.915125272554
370,0.092854691848,0.0515945078434,0.0440684337563,1.49801236815,0.915746057284,1.49801236815,0.915746057284
380,0.0916741291281,0.0551975862527,0.0432689969199,1.49441420947,0.915283186106,1.49441420947,0.915283186106
390,0.0895299459813,0.0531156544915,0.0417195846403,1.49900508248,0.915158631555,1.49900508248,0.915158631555
400,0.0853389618784,0.0495649909424,0.040029803626,1.50158938076,0.914571180718,1.50158938076,0.914571180718
410,0.0878723783448,0.0476220414294,0.03975178475,1.49797193522,0.913945623286,1.49797193522,0.913945623286
420,0.0896265390899,0.0477233731405,0.0402185154387,1.49853092459,0.914638904552,1.49853092459,0.914638904552
430,0.0933094925728,0.0420880794449,0.0393047316356,1.49730597726,0.915546371875,1.49730597726,0.915546371875
440,0.0916671598134,0.038514230739,0.0398357118864,1.50293665595,0.91492077319,1.50293665595,0.91492077319
450,0.0907303055616,0.0379395719841,0.0393711808916,1.50177127334,0.91496025029,1.50177127334,0.91496025029
460,0.0852871374161,0.0376246921105,0.0384232489768,1.5041179569,0.91439482349,1.5041179569,0.91439482349
470,0.0824141235382,0.0367344837236,0.0376329679242,1.50545810562,0.914340725388,1.50545810562,0.914340725388
480,0.0715810158858,0.0369604312184,0.0351987178816,1.50023026533,0.913577087323,1.50023026533,0.913577087323
490,0.0632790623266,0.0372038822355,0.0344280043272,1.50075964058,0.914324769685,1.50075964058,0.914324769685
