Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,WknowTheta,LinUCB
0,1.24287627579,1.11268955779,2.17536852153,0.684019252022,3.06627751018
10,10.711795283,3.72956461335,6.22102431541,6.73392328827,9.60747239099
20,15.3572245313,4.24093120169,7.06318530974,7.78727583116,10.4591391227
30,19.729352524,4.80329194813,7.71417619068,9.41983282656,12.0967139615
40,23.3036078719,5.16329684583,8.00743492109,10.0182761529,12.6140588182
50,26.3909753738,5.19911007947,8.33381953317,10.2547374317,13.0157062679
60,29.0386523504,5.30665453059,8.73342944213,10.5228048332,13.434503862
70,30.638874806,5.36973486259,9.07621414253,10.871962246,13.7106098311
80,32.5458279249,5.45482451796,9.61490526205,11.2883134778,14.1250346288
90,34.1221608229,5.61224466935,10.0763543669,11.5399669389,14.4575922387
100,35.5910966554,5.72921416977,10.4104648943,11.8616484778,14.776552191
110,36.7791702594,5.87324084344,10.7698868308,12.1189837345,14.9955431201
120,37.5538541777,5.88813576704,10.976660405,12.3371206985,15.2039832925
130,38.5389704254,5.92160288702,11.6651969259,12.5252003068,15.4740016302
140,39.5037807153,5.9649377141,12.0875117371,12.6834050308,15.5652196485
150,41.3732761221,6.01225066526,12.8701679122,12.976081788,15.8341723438
160,42.2474776934,6.09250480814,13.6371966141,13.2209935096,16.123162204
170,42.6553668421,6.19921674573,13.835316738,13.492529366,16.3970408594
180,43.5194415506,6.22626223379,14.3298553526,13.6150577416,16.5328453808
190,44.1787978899,6.23380294514,14.4770969852,13.7948171919,16.6550378738
200,44.9199569134,6.32037972608,14.6138037482,14.0354048691,16.8287797316
210,45.5443782857,6.34564012991,14.7604621962,14.2256428459,17.0554223402
220,45.7360003766,6.4124793983,14.9485006775,14.3622571448,17.1180198871
230,46.3617154153,6.43203836776,15.1905143903,14.4168730824,17.2167476343
240,46.5066842005,6.49607138659,15.379328498,14.4533411791,17.3076893946
250,46.7064968596,6.49829319861,15.487056182,14.5543191248,17.3856143324
260,46.8757253108,6.52540636436,15.5148052438,14.6018928359,17.442880109
270,46.9203414508,6.53613599232,15.5771765654,14.6699905205,17.532548977
280,47.093694166,6.55575273382,15.6793003939,14.8290359129,17.6464020171
290,47.2058135261,6.59219143836,15.7531658401,14.9024445155,17.718607275
300,47.4362778077,6.61297981188,15.8277286924,15.0484647187,17.8756575475
310,47.7621025018,6.66397832145,16.0017466102,15.1662937091,18.015691299
320,47.87083356,6.69030869662,16.1064145746,15.2333780548,18.0625400369
330,48.1175431358,6.74394055923,16.2779599877,15.3737566056,18.2054766243
340,48.3449009004,6.77589921285,16.3488981644,15.4752684756,18.2374352779
350,48.585170154,6.80718941588,16.4618287495,15.5901654693,18.3571651829
360,48.7029168786,6.87377533281,16.5390877671,15.7318278416,18.5060419885
370,48.8467146319,6.91233884987,16.5866496518,15.8249594809,18.6067036597
380,48.9141397057,6.91920711553,16.5959933367,15.8756109411,18.7078328468
390,49.0767746696,6.95099197403,16.6600874426,15.9304618839,18.7536027916
400,49.3025569325,7.01264255695,16.8028041887,15.9592838211,18.7967333497
410,49.4473091483,7.01567522676,16.8411959812,16.0806869747,18.876379635
420,49.6136220355,7.11668854076,17.0657927405,16.2535871756,19.0094754698
430,49.6801024895,7.13441232308,17.1277281636,16.3364586986,19.0944007974
440,49.8415485788,7.17433469669,17.2205974242,16.4140063726,19.15916223
450,49.9963875323,7.20478086199,17.2946156085,16.4902167153,19.2353384877
460,50.2063221756,7.23111566375,17.415035423,16.5853175487,19.3304393212
470,50.4014477502,7.31707274687,17.6068098062,16.6783460663,19.4202304172
480,50.69947386,7.37731996361,17.7167281431,16.7984837043,19.5427680362
490,50.8122156257,7.43677743953,17.8060663218,16.9183723869,19.6626567187
