Time(Iteration),AsyncCoLinUCBCoTheta,GOBLinCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,
0,0.549898773445,0.469311707356,0.665164927141,0.816836869067,
10,0.129027938227,0.0743220001682,0.0564552946752,0.368457464125,
20,0.0752268438871,0.0690816040173,0.0357572267653,0.276786408208,
30,0.0533677295005,0.0651720090336,0.0235579582706,0.237662054595,
40,0.0430662349441,0.0658560818327,0.0196138209239,0.211182036631,
50,0.0388344539674,0.0653324059319,0.0179732507988,0.197155878037,
60,0.0340813848166,0.0660404653645,0.0151129370858,0.18369603663,
70,0.0320951465949,0.065409441971,0.0130709903651,0.173524640357,
80,0.0299087287061,0.065229321715,0.0115508736364,0.166096171731,
90,0.0277993293178,0.0652911855271,0.0104924682847,0.160779630596,
100,0.025824889341,0.0646741883749,0.00970744523734,0.152235491617,
110,0.0240942579269,0.064739252598,0.00927878390469,0.146149021504,
120,0.0229412013002,0.0650212190317,0.00807208888809,0.14163860928,
130,0.0214109600128,0.0654620820342,0.00910337856214,0.137308729164,
140,0.0199373362128,0.0660624307465,0.00889531107915,0.133709037312,
150,0.0190349405352,0.0659322912628,0.00924761670511,0.131181472106,
160,0.0178671012433,0.0658593078145,0.00918365248684,0.124826692394,
170,0.016903218115,0.0660747010838,0.00935493465034,0.122590797725,
180,0.0163836652335,0.0662048970678,0.00973723849999,0.121161592006,
190,0.0158244417506,0.0660483394007,0.00940733147407,0.119233093054,
200,0.0155972636718,0.0656837077325,0.00886512051885,0.118006698713,
210,0.0156628869064,0.0654239325278,0.00874979480921,0.117749026398,
220,0.0147923560168,0.0655724598237,0.00834267402168,0.116103758358,
230,0.0145443160629,0.0655360126116,0.00814177628166,0.115744081997,
240,0.0140195209398,0.0656060182882,0.00771462436699,0.113558446841,
250,0.0134651046873,0.0654236348165,0.00747651812754,0.112229785199,
260,0.0134066321537,0.0648688897502,0.00682059480106,0.11175087987,
270,0.0131760704392,0.0648083115827,0.00696521944182,0.111007139078,
280,0.0127614227771,0.0646637736526,0.00669966940391,0.109214913725,
290,0.012269029188,0.0648029733725,0.00659864428543,0.107662248476,
300,0.0121480706563,0.0647497764944,0.00673029438561,0.107041301713,
310,0.0118052680155,0.0646978746125,0.00641115303765,0.105691754046,
320,0.0114191688353,0.0648051377629,0.00612146345053,0.104625008599,
330,0.011434838992,0.0647189714952,0.00635173909823,0.1036225045,
340,0.0110029318219,0.0648774976248,0.00630392268044,0.102800310251,
350,0.0110007385566,0.0647005157597,0.00629471565675,0.102107268674,
360,0.0109341436077,0.0645836966158,0.00619681348582,0.101410692445,
370,0.0105599688767,0.0646318289319,0.00582958370301,0.100439799309,
380,0.010366809817,0.0648159112516,0.00576833832791,0.0995530158441,
390,0.0100314659539,0.065061914233,0.00543614499598,0.0987862389942,
400,0.0100199338114,0.0651344028426,0.00551977444163,0.0985732714221,
410,0.00987474089558,0.0650214514036,0.00576489857796,0.0976834749053,
420,0.00978859087346,0.0648734313155,0.00554249181818,0.0975949899185,
430,0.00952958612771,0.0649820622037,0.00523296078141,0.0965754915193,
440,0.00947252966244,0.0650723434496,0.00527752821919,0.0956797963002,
450,0.009444342482,0.0649742089111,0.00523935478975,0.0954827988695,
460,0.00918268376675,0.0650913835459,0.00499793633308,0.0941649429809,
470,0.00920360779491,0.0650805684456,0.00498320323018,0.0938182823971,
480,0.0091865624457,0.0651574180278,0.00506729361691,0.0934155126214,
490,0.00907096370677,0.0653088058864,0.00502934650469,0.0927225704116,
